 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8
RF02987#URS0000D68C86_12908/1-89#subopt1,   5.50302,   0.22942,  -1.82104,-0.0886194,0.00545052,   0.77414,  0.977195,  0.501927
RF02987#URS0000D68C86_12908/1-89#subopt2,   5.89578, 0.0796062,  -2.43758, -0.104811,-0.0989948,   1.08785,    0.6979,  0.329873
RF02987#URS0000D68F88_12908/1-87#subopt0,   5.7659,-0.892584, -1.57757,  1.63056,-0.382496, 0.699454,-0.595254, 0.310886
RF02987#URS0000D68F88_12908/1-87#subopt1,  5.70562,-0.845443, -1.35641,  1.83732, 0.149359,  1.34525,-0.240732, 0.373241
RF02987#URS0000D68F88_12908/1-87#subopt2,  5.70458,-0.185853, -2.86432,  1.24471,-0.710981,  1.48326,  0.60952, 0.634845
RF03169#URS0000D69050_12908/1-85#subopt0,   5.4752, 0.796749,-0.901617,-0.658655, 0.265329,-0.204879, 0.366334,-0.864099
RF03169#URS0000D69050_12908/1-85#subopt1,  4.94309,  1.56781,0.0500296,-0.325861, 0.400674,   1.0053,-0.379154,-0.604054
RF03169#URS0000D69050_12908/1-85#subopt2,  6.16063, 0.243234, -1.15172,-0.164096, 0.120885,  1.75348, 0.143099,-0.547879
RF03169#URS0000D6778A_12908/1-87#subopt0,  6.50091, 0.131507,-0.736001, -1.89046, 0.173227, 0.328437, -1.29138, 0.598505
RF03169#URS0000D6778A_12908/1-87#subopt1,   5.99485,  0.779435,-0.0844838,  -2.26783,  0.106485,  0.123601,  -1.32779,  0.357037
RF03169#URS0000D6778A_12908/1-87#subopt2,   5.08757,  -0.50021,  0.838382,   1.03238,   1.68077, -0.676543,  0.014682,-0.0681758
RF03169#MGMJ01000061.1/3123-3039#subopt0,  5.30987,-0.797095, -0.95192, 0.562441, 0.274117,-0.660824, 0.670271,  2.20628
RF03169#MGMJ01000061.1/3123-3039#subopt1,  5.96271, -1.50268, -1.23098, 0.642847, 0.558855,-0.553376, 0.754131,   1.2578
RF03169#MGMJ01000061.1/3123-3039#subopt2,  5.90168, -1.29583, -1.19611, 0.665092, 0.141996,-0.991401,  1.14665,  1.86087
RF03169#URS0000D66ED9_12908/1-87#subopt0,  5.43827,-0.809043, 0.430601,-0.663884, 0.274232, 0.140529, -1.18893,  1.35222
RF03169#URS0000D66ED9_12908/1-87#subopt1,  5.41588,-0.653461, 0.654496,-0.558687, 0.300468, 0.670925,-0.617341,  1.06866
RF03169#URS0000D66ED9_12908/1-87#subopt2,  5.37371,-0.820542, 0.671645, -0.44422, 0.685697, 0.718831,-0.847721,   1.3685
RF02958#URS0000D6753D_12908/1-114#subopt0,  6.45021, 0.409306,-0.497989, 0.655585, -1.30618, -1.36404,-0.195742, -0.97087
RF02958#URS0000D6753D_12908/1-114#subopt1,  6.32324,  0.82762, 0.474237, 0.333544,  -1.7097,-0.884214,-0.723347, 0.396926
RF02958#URS0000D6753D_12908/1-114#subopt2,  6.49036, 0.706492, 0.514371, 0.400233, -1.45789,-0.502797,-0.576823, 0.732226
RF02958#URS0000D66605_1235798/1-114#subopt0,  6.23454,  1.10584, 0.222976, 0.129976,-0.417949, 0.718119, 0.739926, -1.13041
RF02958#URS0000D66605_1235798/1-114#subopt1,   6.24117,   1.27656,   0.20577,-0.0223273, -0.709432,  0.415947,  0.822355,  -1.36288
RF02958#URS0000D66605_1235798/1-114#subopt2,  6.09216,  1.12667,-0.145174,-0.824501,-0.373915, 0.527929, 0.993908,  -1.0547
RF02958#KE159748.1/73297-73184#subopt0,  6.23454,  1.10584, 0.222976, 0.129976,-0.417949, 0.718119, 0.739926, -1.13041
RF02958#KE159748.1/73297-73184#subopt1,   6.24117,   1.27656,   0.20577,-0.0223272, -0.709432,  0.415947,  0.822355,  -1.36288
RF02958#KE159748.1/73297-73184#subopt2,  6.09216,  1.12667,-0.145174,-0.824502,-0.373915, 0.527929, 0.993908,  -1.0547
RF02958#URS0000D6C13D_12908/1-114#subopt0,   6.0666,  1.35201, 0.260864, 0.336529,-0.180292,  1.01611,  1.05769, -0.94843
RF02958#URS0000D6C13D_12908/1-114#subopt1, 6.00768, 1.07171,0.382807,0.925433,0.471632,0.826263,  1.0686,-0.16871
RF02958#URS0000D6C13D_12908/1-114#subopt2,  6.09546,  1.26601, 0.422638,  0.73911,0.0887292, 0.469531,  1.19085,-0.563174
RF03130#CP019331.1/208098-208069#subopt0,  2.68762, 0.187657, -0.32474,  1.33391,  2.29885, 0.836189,-0.300168,-0.656749
RF03130#CP019331.1/208098-208069#subopt1,  3.41225,-0.363055, -1.13586,  1.49117,  2.09733,  1.13021,-0.380379,-0.188463
RF03130#CP019331.1/208098-208069#subopt2,   3.36101,-0.0302712,-0.0122949,-0.0288734,   2.79814,  0.467185, -0.376706,-0.0846933
RF03130#LT629752.1/2327677-2327706#subopt0,  2.68762, 0.187657, -0.32474,  1.33391,  2.29885,  0.83619,-0.300168,-0.656749
RF03130#LT629752.1/2327677-2327706#subopt1,  3.41225,-0.363055, -1.13586,  1.49117,  2.09733,  1.13021,-0.380379,-0.188463
RF03130#LT629752.1/2327677-2327706#subopt2,   3.36101,-0.0302712,-0.0122949,-0.0288734,   2.79814,  0.467185, -0.376706,-0.0846933
RF03130#LT670850.1/2437797-2437768#subopt0,  2.68762, 0.187657, -0.32474,  1.33391,  2.29885,  0.83619,-0.300168,-0.656749
RF03130#LT670850.1/2437797-2437768#subopt1,  3.41225,-0.363055, -1.13586,  1.49117,  2.09733,  1.13021,-0.380379,-0.188463
RF03130#LT670850.1/2437797-2437768#subopt2,   3.36101,-0.0302712,-0.0122949,-0.0288734,   2.79814,  0.467185, -0.376706,-0.0846933
RF03130#URS0001A23FB0_12908/1-30#subopt0,  2.68762, 0.187657, -0.32474,  1.33391,  2.29885,  0.83619,-0.300168,-0.656749
RF03130#URS0001A23FB0_12908/1-30#subopt1,  3.41225,-0.363055, -1.13586,  1.49117,  2.09733,  1.13021,-0.380379,-0.188463
RF03130#URS0001A23FB0_12908/1-30#subopt2,   3.36101,-0.0302712,-0.0122949,-0.0288734,   2.79814,  0.467185, -0.376706,-0.0846933
RF03142#URS0001A246D4_12908/1-69#subopt0,  3.77478, -1.09605, -1.53713,  1.22878, 0.878223,  1.19116,0.0100187,-0.127124
RF03142#FXYF01000010.1/45420-45352#subopt0,  3.71777, -1.00172,  -1.5949,  1.26162, 0.856504,  1.06398,-0.292409,0.0392484
RF03142#FXYF01000010.1/45420-45352#subopt1,  3.79416,-0.993753, -1.45898,  1.52271, 0.996705, 0.605867, 0.336252,0.0991181
RF03142#FXYF01000010.1/45420-45352#subopt2, 3.75283,-1.00278,-1.45904, 1.40045, 0.61182,0.593761,0.391174,0.387158
RF03142#URS0001A234C0_12908/1-69#subopt0,  3.71777, -1.00172,  -1.5949,  1.26162, 0.856504,  1.06398,-0.292409,0.0392484
RF03142#URS0001A24051_12908/1-65#subopt0,   3.8696, -1.03311, -1.63894,  1.05024, 0.227345, 0.488326,-0.393925,0.0616947
RF03142#URS0001A24051_12908/1-65#subopt1,  4.29674, -1.16287, -1.60977, 0.094245,  0.43649, 0.500004,-0.795012, 0.708356
RF03142#URS0001A24051_12908/1-65#subopt2,   4.4166, -1.25472, -1.67642,0.0309778, 0.383048, 0.354932, -0.77637, 0.974535
RF02957#URS0000D6BF88_755863/1-129#subopt0,  6.82328, 0.038721,  3.04929, 0.364898, 0.270609, 0.077385,0.0378174,  1.71826
RF02957#URS0000D6BF88_755863/1-129#subopt1,   7.14108, -0.123242,   3.21472,-0.0320625,   0.29815, 0.0865436, 0.0895175,   2.03322
RF02957#URS0000D6BF88_755863/1-129#subopt2,   5.95335,  0.941882,   3.91989,0.00919518,  0.096563,  -0.12037, -0.599584,   1.42729
RF02957#URS0000D6BF88_360102/1-129#subopt0,  6.82328, 0.038721,  3.04929, 0.364898, 0.270609, 0.077385,0.0378174,  1.71826
RF02957#URS0000D6BF88_360102/1-129#subopt1,   7.14108, -0.123242,   3.21472,-0.0320625,   0.29815, 0.0865436, 0.0895175,   2.03322
RF02957#URS0000D6BF88_360102/1-129#subopt2,   5.95335,  0.941882,   3.91989,0.00919518,  0.096563,  -0.12037, -0.599584,   1.42729
RF02957#AL590842.1/1239599-1239471#subopt0,  6.82328, 0.038721,  3.04929, 0.364898, 0.270609, 0.077385,0.0378174,  1.71826
RF02957#AL590842.1/1239599-1239471#subopt1,   7.14108, -0.123242,   3.21472,-0.0320625,   0.29815, 0.0865436, 0.0895175,   2.03322
RF02957#AL590842.1/1239599-1239471#subopt2,   5.95335,  0.941882,   3.91989,0.00919518,  0.096563,  -0.12037, -0.599584,   1.42729
RF02957#URS0000D661CF_527002/1-130#subopt0,    6.375, 0.769799,  4.21754,-0.393621, 0.517433, 0.164039, -0.45882,   1.7925
RF02957#URS0000D661CF_527002/1-130#subopt1,  6.68588, 0.585517,  4.31742,-0.850848, 0.514251, 0.378281,-0.397437,  2.01786
RF02957#URS0000D661CF_527002/1-130#subopt2,  7.17947, -1.95119, 0.852182,-0.455261,  1.01944,-0.555826,  0.55649,  1.32081
RF01717#KJ019103.1/171801-171896#subopt0,  3.41994,  1.16402,  1.44786, 0.338515, 0.208219,-0.843565,-0.919894,-0.050959
RF01717#KJ019103.1/171801-171896#subopt1,   4.00494,   1.58154,  -1.20221, -0.454013, -0.252033,  0.114372, -0.761108,-0.0703508
RF01717#KJ019103.1/171801-171896#subopt2,   3.04962,   2.19012, -0.135384, -0.867622,-0.0351536, -0.145184,  -0.15466, -0.594597
RF01717#GU071105.1/181614-181709#subopt0,   4.43168,-0.0923014,   1.00637, 0.0256763,  0.810429,  -1.22482, -0.577721,-0.0661199
RF01717#GU071105.1/181614-181709#subopt1,  3.59463, 0.733755,  1.72827,-0.117485, 0.559396, -0.60761,-0.498329, 0.426094
RF01717#GU071105.1/181614-181709#subopt2,   2.68161,   1.29355,   1.20896,   1.26143, 0.0270591, -0.660368,-0.0310996, 0.0805329
RF01717#FM207411.1/8698-8606#subopt0,  4.49228, 0.415974,   -1.636,-0.568562,0.0154027,-0.154627,0.0974175,  1.44265
RF01717#FM207411.1/8698-8606#subopt1,   5.58262,  0.158589,   -1.0475,  -2.15514,-0.0986866,  -0.51993, -0.366557,     1.182
RF01717#FM207411.1/8698-8606#subopt2,    4.6458,   1.05173,-0.0791557,  -1.60975,   0.57951, -0.358128,   0.68144,  0.477402
RF01717#GU071103.1/169510-169600#subopt0,  4.09656,  1.42437, -1.88207, 0.958586, 0.115486, 0.935848,-0.129028, 0.782811
RF01717#GU071103.1/169510-169600#subopt1,  4.98915, 0.925876,  -1.4638,-0.695884, 0.305795, 0.482386,-0.427545, 0.851081
RF01717#GU071103.1/169510-169600#subopt2,  4.93609, 0.949437,  -1.5988, -1.00905,-0.278114, 0.103598, -0.64101, 0.846584
RF01725#KB456687.1/1545-1438#subopt0,   5.72808,  0.978104,   3.16855, -0.384898,-0.0449782, -0.617337,  -1.69369, -0.579589
RF01725#KB456687.1/1545-1438#subopt1,   5.7015,  1.09165,  3.06882,-0.318001,0.0186541,-0.697043,  -1.7762,-0.481021
RF01725#KB456687.1/1545-1438#subopt2,  5.75825, 0.999233,  3.11402, -0.20664,-0.187244,-0.830295, -1.07814,0.0736771
RF01725#ATDL01000014.1/305234-305140#subopt0,  5.88795,-0.572896, 0.415455, 0.850574,  1.44449,-0.534394, -2.04251,-0.659763
RF01725#ATDL01000014.1/305234-305140#subopt1,  5.89066,  -0.5542, 0.303685, 0.685323,  1.12776,-0.954677, -2.18964,-0.649683
RF01725#ATDL01000014.1/305234-305140#subopt2,  5.86731,-0.625206, 0.376955, 0.742391,  1.12265, -0.72225, -1.70874,-0.606907
RF01725#CP011568.2/2341891-2341786#subopt0,  6.01561,      1.9,  2.47687,-0.945994, -1.55958, -1.63679, 0.442157, 0.309192
RF01725#CP011568.2/2341891-2341786#subopt1,   6.13959,   1.90964,   2.62073, -0.795502, -0.745152, -0.725781, 0.0990822,-0.0593518
RF01725#CP011568.2/2341891-2341786#subopt2,  6.00431,  1.93601,  2.47552,-0.907885, -1.50709, -1.62442, 0.458032, 0.295582
RF01725#BAMW01000022.1/16179-16288#subopt0,  6.15792,  1.36895,  1.07965,-0.883292,-0.671702, 0.345513,-0.698358, 0.332913
RF01725#BAMW01000022.1/16179-16288#subopt1,  6.26854,  1.27914,  1.00043,-0.791038,-0.413884, 0.727342,-0.522449,  0.63335
RF01725#BAMW01000022.1/16179-16288#subopt2,  6.26709,  1.29994,  1.06819,-0.798707,-0.418542, 0.670468,-0.499189, 0.786392
RF00174#MWFK01000002.1/722662-722517#subopt0, 6.86697,-0.10377, 1.98714, 1.53607,0.840612,0.278261,-1.42396, 0.30839
RF00174#MWFK01000002.1/722662-722517#subopt1,  6.88417,-0.257317,  2.17356,   1.5633, 0.756234,-0.182667,-0.996775,0.0281417
RF00174#MWFK01000002.1/722662-722517#subopt2,  6.89685,0.0975882,  1.79424,  1.29405, 0.736625, 0.539181,  -1.6213,-0.359274
RF00174#CP000613.2/2937153-2937359#subopt0, 8.47114,-3.49383,-1.45489,-0.19818,0.101375,-1.76343, 1.67678, 1.37723
RF00174#CP000613.2/2937153-2937359#subopt1,  8.47224, -3.49098, -1.47021,-0.204522, 0.106164, -1.74968,  1.67359,  1.38397
RF00174#CP000613.2/2937153-2937359#subopt2,  8.57317, -3.57818,  -1.4725,-0.165373, 0.626772, -1.42816,  1.43029,  1.06032
RF00174#LZZM01000194.1/2900-2761#subopt0,  5.80695,  1.16286,  3.06189, -0.20785, 0.325028,-0.565881,-0.602287, 0.328005
RF00174#LZZM01000194.1/2900-2761#subopt1,  5.88447,  1.08305,  3.29493,-0.150081,0.0965831,-0.969513,-0.144477, 0.231522
RF00174#LZZM01000194.1/2900-2761#subopt2,   5.87038,  0.994784,   3.42085, -0.140503,-0.0662907,   -1.3709,  0.249756, 0.0787124
RF00174#AFGF01000269.1/62250-62434#subopt0,   8.87459,  -2.22874, -0.302067,   1.02046,  0.665623,-0.0838023,  -1.61284,   0.24935
RF00174#AFGF01000269.1/62250-62434#subopt1,   8.4408, -1.89961,0.0402138, 0.996904, 0.793137,-0.180593, -1.56932, 0.196361
RF00174#AFGF01000269.1/62250-62434#subopt2,  8.08955, -1.60523,-0.102346,  1.64265, 0.572874,-0.275794,  -1.7337,-0.082927
RF03132#URS0001A23582_132474/1-56#subopt0,  4.04066,  2.25411, 0.182032, -1.96539,0.0303222,-0.161832, 0.088881, 0.197819
RF03132#URS0001A23582_132474/1-56#subopt1,  3.40661,  2.20578,  0.25132, -1.24844,  0.13028,-0.265645, 0.262029, 0.141395
RF03132#URS0001A23582_132474/1-56#subopt2,  3.91596,  2.15417, 0.367456, -1.75986,0.0961925,0.0542312, 0.208295,  0.54274
RF03132#URS0001A2399E_1440053/1-56#subopt0,  4.04066,  2.25411, 0.182032, -1.96539,0.0303222,-0.161832, 0.088881, 0.197819
RF03132#URS0001A2399E_1440053/1-56#subopt1,  3.40661,  2.20578,  0.25132, -1.24844,  0.13028,-0.265645, 0.262029, 0.141395
RF03132#URS0001A2399E_1440053/1-56#subopt2,  3.91596,  2.15417, 0.367456, -1.75986,0.0961925,0.0542312, 0.208295,  0.54274
RF03132#URS0001A232D3_1157633/1-56#subopt0,  4.04066,  2.25411, 0.182032, -1.96539,0.0303222,-0.161832, 0.088881, 0.197819
RF03132#URS0001A232D3_1157633/1-56#subopt1,  3.40661,  2.20578,  0.25132, -1.24844,  0.13028,-0.265645, 0.262029, 0.141395
RF03132#URS0001A232D3_1157633/1-56#subopt2,  3.91596,  2.15417, 0.367456, -1.75986,0.0961925,0.0542312, 0.208295,  0.54274
RF03132#ASHX02000001.1/2482147-2482092#subopt0,  4.04066,  2.25411, 0.182032, -1.96539,0.0303222,-0.161832, 0.088881, 0.197819
RF03132#ASHX02000001.1/2482147-2482092#subopt1,  3.40661,  2.20578,  0.25132, -1.24844,  0.13028,-0.265645, 0.262029, 0.141395
RF03132#ASHX02000001.1/2482147-2482092#subopt2,  3.91596,  2.15417, 0.367456, -1.75986,0.0961925,0.0542312, 0.208295,  0.54274
RF02001#GG657590.1/215507-215313#subopt0,   7.91469,-0.0914499,  -1.03436,  0.078415,-0.0676527,-0.0655349, -0.157134,  -1.33293
RF02001#GG657590.1/215507-215313#subopt1,   7.82167, 0.0570318,  -1.27371, -0.166265,-0.0937061,  0.181762, -0.578883,  -1.72897
RF02001#GG657590.1/215507-215313#subopt2,  7.73092,-0.406999, -0.90754, 0.165987,-0.063568,-0.117099,-0.246879,   -1.261
RF02001#MJHW01000023.1/2004-1835#subopt0,   6.64988,  0.272707,-0.0608567,   1.72464,  0.289269,-0.0828984,  0.463688, -0.204418
RF02001#MJHW01000023.1/2004-1835#subopt1,  6.66341, 0.307897,-0.099992,  1.67802, 0.418137, 0.159424, 0.186122, -0.25721
RF02001#MJHW01000023.1/2004-1835#subopt2,  6.73037,  0.16958, 0.159102,  1.68022, 0.214348,-0.391661, 0.677454,-0.625326
RF02001#ALJM01000048.1/525-355#subopt0,  6.85517,-0.341747,  -1.2635, -1.06194, 0.870633, -1.16985,  2.03998,-0.299502
RF02001#ALJM01000048.1/525-355#subopt1,   6.42594,-0.0673309,  -1.46994, -0.523158,  0.687848, -0.853252,   1.78667, -0.921047
RF02001#ALJM01000048.1/525-355#subopt2,  7.03123,-0.489105, -1.78809,-0.833805,  1.00498,-0.949858,  1.81281, 0.433631
RF02001#ALNL01000029.1/20052-19882#subopt0,  7.54936,-0.737456,  -1.5202, 0.856032,-0.135035,-0.578277, 0.779934, -2.10286
RF02001#ALNL01000029.1/20052-19882#subopt1,   7.89036,  -1.14608,  -1.78873,  0.878185,  -0.30935,-0.0956456,  0.858421,  -1.89877
RF02001#ALNL01000029.1/20052-19882#subopt2,   8.3376, -1.30294, -1.23324,-0.253057,   0.4272,0.0196202, 0.453577, -1.66482
RF03054#CP014517.1/865598-865664#subopt0,  4.46561, -1.14854, -1.24061,-0.600461, 0.813058,-0.677233, 0.366984, 0.675546
RF03054#CP014517.1/865598-865664#subopt1,  4.46561, -1.14854, -1.24061,-0.600461, 0.813058,-0.677233, 0.366984, 0.675546
RF03054#CP014517.1/865598-865664#subopt2,  4.37296, -1.11731, -1.19799,-0.483461,  1.01021,-0.280604,  0.74655, 0.964039
RF03054#URS0000D6A626_1235457/1-85#subopt0,  3.59776,-0.497203,-0.588435,-0.440182,  1.16148, -1.16315, 0.452207,-0.856448
RF03054#URS0000D6A626_1235457/1-85#subopt1,  3.59776,-0.497203,-0.588435,-0.440182,  1.16148, -1.16315, 0.452207,-0.856448
RF03054#URS0000D6A626_1235457/1-85#subopt2,  3.57806,-0.541728,-0.605472,-0.338863,  1.32762,-0.812054, 0.847475,-0.418269
RF03054#URS0000D6C6CC_543728/1-68#subopt0,  3.40617,  1.42725,  1.29195,  1.10085,-0.361016,-0.622647,-0.921689, 0.125111
RF03054#URS0000D6C6CC_543728/1-68#subopt1,   3.3505,  1.34239,  1.39883,  1.24556,-0.304324,-0.762662,-0.850775, 0.593841
RF03054#URS0000D6C6CC_543728/1-68#subopt2,  3.48201,  1.20755,  1.85335,  1.49938,-0.530193, -1.42953, 0.226258, 0.733536
RF03054#URS0000D6C6CC_1150395/1-68#subopt0,  3.40617,  1.42725,  1.29195,  1.10085,-0.361016,-0.622647,-0.921689, 0.125111
RF03054#URS0000D6C6CC_1150395/1-68#subopt1,   3.3505,  1.34239,  1.39883,  1.24556,-0.304324,-0.762662,-0.850775, 0.593841
RF03054#URS0000D6C6CC_1150395/1-68#subopt2,  3.48201,  1.20755,  1.85335,  1.49938,-0.530193, -1.42953, 0.226258, 0.733536
RF03131#ANFO01000012.1/25823-25848#subopt0,   2.66928,  0.333999, -0.866698,  0.696311,  0.699003,0.00379207,  0.274689,  0.368204
RF03131#AP008232.1/2686948-2686973#subopt0,   2.66928,  0.333999, -0.866698,  0.696311,  0.699003,0.00379207,  0.274689,  0.368204
RF03131#BBMZ01000007.1/214689-214664#subopt0,   2.66928,  0.333999, -0.866698,  0.696311,  0.699003,0.00379207,  0.274689,  0.368204
RF03131#BX470251.1/3405528-3405553#subopt0,   2.66928,  0.333999, -0.866698,  0.696311,  0.699003,0.00379207,  0.274689,  0.368204
RF03135#URS0001A24445_12908/1-100#subopt0,  4.91979,-0.121421,-0.105514,  2.64012,  1.75294, 0.453398, 0.413476,-0.628287
RF03135#URS0001A24445_12908/1-100#subopt1,  4.84157,-0.138103,-0.031834,  2.39298,  0.95467,0.0909548,  1.04964,-0.129542
RF03135#URS0001A24445_12908/1-100#subopt2,   4.9118, -0.11867,-0.110294,  2.62402,  1.75202, 0.462805, 0.432144,-0.640884
RF03135#CP007060.1/2200475-2200574#subopt0,   5.87996, -0.941269,-0.0390147,   1.14797,   1.74869,   1.33566,  0.408631,0.00302213
RF03135#CP007060.1/2200475-2200574#subopt1,  5.89881,-0.788384,-0.018018,  1.24083,  1.65268,  1.16666, 0.165064, 0.258781
RF03135#CP007060.1/2200475-2200574#subopt2,   5.7251, -0.40487, 0.226639,-0.125788,  2.04258,  1.62679,-0.404688,-0.280143
RF03135#URS0001A23BD7_12908/1-100#subopt0,   5.87996, -0.941269,-0.0390147,   1.14797,   1.74869,   1.33566,  0.408631,0.00302213
RF03135#URS0001A23BD7_12908/1-100#subopt1,  5.89881,-0.788384,-0.018018,  1.24083,  1.65268,  1.16666, 0.165064, 0.258781
RF03135#URS0001A23BD7_12908/1-100#subopt2,   5.7251, -0.40487, 0.226639,-0.125788,  2.04258,  1.62679,-0.404688,-0.280143
RF03135#URS0001A23BD7_751944/1-100#subopt0,   5.87996, -0.941269,-0.0390147,   1.14797,   1.74869,   1.33566,  0.408631,0.00302213
RF03135#URS0001A23BD7_751944/1-100#subopt1,  5.89881,-0.788384,-0.018018,  1.24083,  1.65268,  1.16666, 0.165064, 0.258781
RF03135#URS0001A23BD7_751944/1-100#subopt2,   5.7251, -0.40487, 0.226639,-0.125788,  2.04258,  1.62679,-0.404688,-0.280143
RF03127#URS0001A243B9_12908/1-75#subopt0,   4.08289,   1.64539,  -1.14171, -0.166156, 0.0404909,-0.0858756,   0.57517,  0.793345
RF03127#URS0001A243B9_12908/1-75#subopt1,  4.72309,  1.28361, -1.76644,   0.1405,0.0302615, 0.631538,  0.27894, 0.933414
RF03127#URS0001A243B9_12908/1-75#subopt2,  3.36151,  2.08742, -1.34357,  0.64752,-0.480784, 0.235218, 0.115976,  0.21669
RF03127#FR892111.1/50988-50914#subopt0,  4.12412,  2.07533,-0.778882, 0.734128, -1.11452,-0.633615,-0.484599,-0.403257
RF03127#FR892111.1/50988-50914#subopt1,  4.08759,  2.16903,-0.826805,  0.65992, -1.00483, -0.57564,-0.481473,-0.815678
RF03127#FR892111.1/50988-50914#subopt2,  4.72778,  1.80725, -1.45154, 0.966577, -1.01506, 0.141777,-0.777702,-0.675613
RF03127#URS0001A23360_12908/1-75#subopt0,  4.12412,  2.07533,-0.778882, 0.734128, -1.11452,-0.633615,-0.484599,-0.403257
RF03127#URS0001A23360_12908/1-75#subopt1,  4.08759,  2.16903,-0.826805,  0.65992, -1.00483, -0.57564,-0.481473,-0.815678
RF03127#URS0001A23360_12908/1-75#subopt2,  4.72778,  1.80725, -1.45154, 0.966577, -1.01506, 0.141777,-0.777702,-0.675613
RF03127#URS0001A24415_1111130/1-75#subopt0,   4.25921,   1.51787,  -1.89326,  0.710411, -0.224981,  0.471285, -0.346462,-0.0474766
RF03127#URS0001A24415_1111130/1-75#subopt1,   4.25921,   1.51787,  -1.89326,  0.710411, -0.224981,  0.471285, -0.346462,-0.0474766
RF03127#URS0001A24415_1111130/1-75#subopt2,   4.20019,   1.27084,    -1.682,  0.763947, -0.467177,-0.0762719,  0.767466, -0.148374
RF03000#URS0000D6CE60_12908/1-124#subopt0,   5.88159,  0.816218,0.00246769, -0.528072, -0.561727, -0.843348,  0.617441, -0.877492
RF03000#URS0000D6CE60_12908/1-124#subopt1,   5.13429,   1.24342, -0.270234,   1.30748, -0.425413,-0.0146387,  0.439927,  -1.46328
RF03000#URS0000D6CE60_12908/1-124#subopt2,  6.33885, 0.557296,-0.112511, -1.28766,-0.738084,-0.645915, 0.399746,-0.383169
RF03000#URS0000D6B574_12908/1-124#subopt0,  5.15275,    1.405,-0.193268,  1.85103,  0.54055, 0.339664, 0.347149, -1.47345
RF03000#URS0000D6B574_12908/1-124#subopt1,   5.86687,   0.91845, -0.220418,   0.68239,  0.739464,  0.500708,-0.0909335, -0.713694
RF03000#URS0000D6B574_12908/1-124#subopt2,  5.15958,  1.33019,-0.248584,  1.52173,-0.126069,-0.100144,0.0141137, -1.53172
RF03000#URS0000D699FC_12908/1-122#subopt0,   5.23974,   1.46749, -0.329859,   1.33444, -0.232307, 0.0055151,-0.0706428,  -2.10797
RF03000#URS0000D699FC_12908/1-122#subopt1,    5.1635,   1.24047, -0.176872,   1.33662, -0.565357,0.00699048,  0.372356,  -1.35749
RF03000#URS0000D699FC_12908/1-122#subopt2,   5.89069,  0.728025, -0.211512,   0.14862, -0.394185,  0.160902,-0.0970276,  -0.58764
RF03000#URS0000D666B2_12908/1-126#subopt0,   5.12417,   1.85652,  0.428059, 0.0521726,  -0.16924,-0.0812895,  0.256665,  -1.58375
RF03000#URS0000D666B2_12908/1-126#subopt1,   5.80849,   1.18109, -0.280071,  0.297933, -0.242469,  0.481228,-0.0959272,  -1.43865
RF03000#URS0000D666B2_12908/1-126#subopt2,   5.6869,  1.52011, 0.857598, -1.16906,0.0777402,0.0533902,  0.27839, -1.02819
RF02035#CP020778.1/1338870-1339010#subopt0,  6.97406, 0.133767, -1.07586, -1.18385, -0.66934,-0.571354, -1.28907, -1.16829
RF02035#CP020778.1/1338870-1339010#subopt1,  6.93841, 0.164002,  -1.0549, -1.22697,-0.687862,-0.503965,-0.932303, -1.20697
RF02035#CP020778.1/1338870-1339010#subopt2,  6.89844, 0.186142, -1.22648, -1.27612,-0.647445,-0.432473, -0.93469, -1.50783
RF02035#NHLW01000073.1/8554-8694#subopt0,  7.79024, -1.19526, -1.35933,-0.657955, -1.11897, -1.39242,  0.22913,  0.28126
RF02035#NHLW01000073.1/8554-8694#subopt1,    7.869, -1.08984, -1.46706, -0.78389, -1.21467,  -1.3386, 0.217938,-0.176826
RF02035#NHLW01000073.1/8554-8694#subopt2,  7.73326, -1.39369, -1.94125, 0.316018, -1.32185, -1.42164, 0.332903,0.0464253
RF02035#LHBX01000012.1/906-766#subopt0,  7.38266,-0.265102,  -1.5867,-0.933258, -0.39107,-0.285052, -1.66006, -1.13803
RF02035#LHBX01000012.1/906-766#subopt1,  7.45181,-0.413987, -1.47519,-0.977523, -0.46774, -0.19274, -1.35007,  -1.2075
RF02035#LHBX01000012.1/906-766#subopt2,  7.40475,-0.362598, -1.62407, -1.01963,-0.333526,-0.246298, -1.34881, -1.40253
RF02035#JMFQ01072660.1/60993-60873#subopt0,  6.28313, -1.47601, 0.160308,  0.37789, 0.601899,-0.607779, 0.103445,  1.54828
RF02035#JMFQ01072660.1/60993-60873#subopt1,   6.7303, -1.57283, 0.217418,-0.511412, 0.664613,-0.521103, 0.370024,  1.50503
RF02035#JMFQ01072660.1/60993-60873#subopt2,  6.40557, -1.43849, 0.185738, 0.245966, 0.215403,-0.965618, 0.327613,   1.5344
RF03069#URS0000D67941_12908/1-181#subopt0,  7.96949, 0.921346,-0.680529, -2.07069, -1.44006, 0.278317, -1.04058, 0.630016
RF03069#URS0000D67941_12908/1-181#subopt1,   7.92784, -0.141535,   1.00742,  -2.90119, -0.785089,-0.0366106,  -1.47361,  0.856046
RF03069#URS0000D67941_12908/1-181#subopt2,  7.73414,0.0250329,  1.21658,  -2.1955,-0.954925,-0.435558, -1.55091, 0.490102
