 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13,snm_14,snm_15,snm_16,snm_17,snm_18,snm_19
RF01704#CP006269.1/1896519-1896580#subopt1,    4.26177,    1.91215,  -0.506643,    -1.0355,  -0.158175,   -0.42829,0.000584771,   0.416262,    1.00227, -0.0212375,    0.52062,    1.03513,   -1.04441,  0.0360684,-0.00917105,  0.0794633,  -0.285392,  -0.770952,   0.427512
RF01704#CP006269.1/1896519-1896580#subopt2,   4.92663,   1.38032,  -1.36923, -0.810991, -0.393516, -0.722427,  0.187353, 0.0691133,  0.733676,  0.168204, 0.0485168,   0.85297,  -1.20858,0.00375288, 0.0778519,  0.716345, -0.571114,  -0.60347,  0.429205
RF01704#CP006269.1/1896519-1896580#subopt3,  5.37223, 0.994468, -1.35806, -1.76541,-0.420015,-0.902722, 0.884844,-0.460604, 0.361417, 0.412209,-0.588821, 0.468962, -1.00667,  0.84711,0.0418386, 0.590061,-0.928284,-0.451178, 0.235476
RF01704#CP006269.1/1896519-1896580#subopt4,  4.82046,  1.49519,-0.508462, -2.03657, 0.274364,-0.264214,-0.120686, 0.169525, 0.852012, -0.16913, 0.473257,  1.36437,-0.596178, 0.425545,-0.232549,-0.375986,-0.689237,-0.902344, 0.408769
RF01704#AE017126.1/924002-923944#subopt0,    4.37358,    1.66216,  -0.363529,  -0.630374,  -0.261438,  -0.297818,  -0.444162,   0.844653,-0.00791206,  -0.546921,   0.604763,   0.545732,   0.176162,  -0.118866,  0.0966588,   0.156338,   -0.10615,   -0.84726, 0.00463177
RF01704#AE017126.1/924002-923944#subopt1,  3.39625,  1.96721, 0.462378,-0.893948,-0.149387,-0.599781, -0.24613, 0.329216, -0.27504,-0.492761,-0.401917, 0.871163, 0.697606, 0.474073,  0.37539,-0.236344,-0.235053,-0.662875, 0.136769
RF01704#AE017126.1/924002-923944#subopt2,   5.05881,   1.03392,  -1.07557, -0.528687, -0.438648,    -1.164, -0.544329,  0.102955, -0.413708, -0.665484, -0.345349,  0.709847, 0.0374377,-0.0460602,-0.0192849,  0.457738, -0.220171, -0.483651,  0.204415
RF01704#AE017126.1/924002-923944#subopt3,   4.08603,   1.94284,   1.09202,  -0.81789,  0.127463, -0.412846,  0.274656,  0.359051, -0.181422, -0.912288, -0.524569,   1.34457,  0.460408,  0.443888, -0.467424,-0.0335753, -0.268346, -0.352401,  0.770135
RF01704#AE017126.1/924002-923944#subopt4,   3.49764,   2.00658,  0.548142,  -1.21166,-0.0155856,   -0.6861, -0.152626,  0.155638, -0.344474, -0.333898, -0.299412,   1.01802,  0.521339,  0.451621,   0.40668, -0.096499,-0.0779749, -0.660904,  0.389576
RF01704#AANO01000053.1/1174-1115#subopt0,   4.13028,   1.39796, -0.685487, -0.707482,  0.626234,  -1.00102, -0.419906,  0.410907,  0.318492,-0.0391446, -0.271606,  0.465912, -0.677326,  0.226892, -0.636486, -0.350403, -0.723486, -0.349113,  0.125828
RF01704#AANO01000053.1/1174-1115#subopt1,   4.05885,   1.42485, -0.414681,  -1.12833,  0.300935,  -1.14174, -0.367048,  0.166872,  0.170749, -0.265925, -0.435381,  0.271432,  -1.03833,-0.0851661, -0.401734, -0.158855,  -1.09484, -0.630659, 0.0916472
RF01704#AANO01000053.1/1174-1115#subopt2,    3.7417,   1.67547,  0.732984,  -1.98234,-0.0797951, -0.721901,  0.553173,  0.306479,  0.316802,  0.867583, -0.001262,  0.575343,  -1.00561,-0.0778645, -0.485454,  0.326352, -0.750986, -0.342885,  -0.32663
RF01704#AANO01000053.1/1174-1115#subopt3,  3.44518,  2.06336,-0.854162, 0.482804,-0.108231,-0.693533,-0.496182, 0.597333, 0.501429,-0.612194, 0.259416, 0.610874,-0.848328,-0.218441,-0.395044,-0.285009,-0.845388,-0.369245,-0.122523
RF01704#AANO01000053.1/1174-1115#subopt4,   3.32158,   2.18851,  0.639804,   -1.0278,   0.17361,  -1.27096,  0.227127,  0.579707,  0.370813, -0.112313,  0.102214,  0.220152, -0.198707,  0.208749,-0.0895062,  0.275785, -0.845438,  -0.51315, -0.102193
RF01704#DS990556.1/1717245-1717309#subopt0,  4.91368, 0.744099, -1.10463,-0.631257,0.0388605,-0.691206, 0.607408, 0.350777, -1.36085,-0.193844,0.0780067, -1.19652, 0.231642, 0.282253,-0.234517, 0.898477, -0.85194,0.0786924,-0.649264
RF01704#DS990556.1/1717245-1717309#subopt1,   4.9345, 0.471394,  -1.0579, -0.32881, 0.446228, -1.03402,-0.317243, 0.549545, -1.20667,-0.736538, 0.210586,-0.183568, 0.609244,0.0536443,-0.290739, 0.280517,  -1.0902,-0.482584,-0.371246
RF01704#DS990556.1/1717245-1717309#subopt2,    4.2987,    1.3348,  -1.41355,  0.814082, -0.291048, -0.911093, 0.0832238,  0.252392,  -1.09189,  -1.16057,  0.207064, 0.0494331,  0.657661, -0.217289,-0.0698219,  0.837644, -0.481625, -0.428843, -0.348746
RF01704#DS990556.1/1717245-1717309#subopt3,   5.01557,  0.963567,  -1.16723,  -0.56617,  0.395714, -0.911419, -0.578243,  0.363516,  -1.11109,  -1.20264,  0.453134, -0.184311,  0.774242, 0.0918536, -0.574323,-0.0984077, -0.888186, -0.297644,-0.0714937
RF01704#DS990556.1/1717245-1717309#subopt4,   4.80029,  0.850608,  -1.83431,  0.986504, -0.629582,   -1.2619,  0.271639,  0.169451,  -1.38341, -0.797237, -0.138547,  -0.14745,  0.374613,-0.0545483, -0.120264,   1.21057, -0.934524,  -0.31178, -0.477213
RF03144#URS0001A2426A_12908/1-47#subopt0,   3.74737,   1.83787, -0.814802,  0.546049, -0.428279,  0.475125, -0.928502, -0.163876, -0.284731, -0.325212, -0.705301,   1.05123,  0.239244,   1.07326,    0.8018, 0.0173973,   0.63017,  0.645743,-0.0472437
RF03144#URS0001A2426A_12908/1-47#subopt1,   4.41703,    1.2261, -0.314785, -0.413032,  0.502497,  0.497727,  -2.08748, -0.632278, -0.739305,  -0.15095, 0.0409728,    1.1983,  0.205553,  0.814029,-0.0697091, -0.452682,   0.32743, -0.022675,  0.236172
RF03144#URS0001A2426A_12908/1-47#subopt2,  4.44201,  1.40279,-0.484231,-0.678523, 0.253442, 0.423545, -1.77141,0.0151081,-0.210802, -0.31255,-0.448837,  1.17392, 0.265628, 0.783056, 0.262989,-0.610261, 0.302738, 0.154505, 0.268251
RF03144#URS0001A2426A_12908/1-47#subopt3,   5.10126,  0.625404,  -1.15549, -0.206429,  0.143609,   0.21022,  -1.92405, -0.891187,   -1.0036, 0.0330966, -0.507743,  0.973101, 0.0544685,  0.854949,0.00630999,  0.109025, 0.0817504,  0.100818,  0.277499
RF03144#URS0001A2426A_12908/1-47#subopt4,   4.95071,   1.05958, -0.285489,   -1.8018, 0.0986652,-0.0332898,  -1.10473, -0.880856, -0.691213,-0.0697824,  -1.46537,  0.583425,  0.223138,   1.36301,  0.284016, -0.330426,  0.114266,  0.208123,  0.453352
RF03144#URS0001A24651_12908/1-47#subopt0,  4.46119,  1.13064, -1.59057, 0.691595,-0.737325,  1.36881,-0.620867,-0.644064,-0.270599, 0.153757,  1.09072, 0.703807, 0.276359, -0.22269, 0.626425,0.0383732, -0.25341,-0.336337,-0.297111
RF03144#URS0001A24651_12908/1-47#subopt1,  4.56447, 0.966258, -1.36224, 0.849805,-0.383046, 0.984285,-0.837791, 0.130619,-0.961513,-0.395881, 0.955207, 0.779344, 0.746871, 0.461937, 0.690751, 0.310495,-0.231635,-0.250062,-0.254652
RF03144#URS0001A24651_12908/1-47#subopt2,   4.40622,   1.35863,  -1.87382,  0.316819,  -1.00392,   1.24812,-0.0764081,  0.181399,  0.220867, -0.102019,  0.577177,  0.617016,   0.30135, -0.382061,  0.978505, -0.230407, -0.288871, -0.189088, -0.185671
RF03144#URS0001A24651_12908/1-47#subopt3,  4.50951,  1.19426,  -1.6455, 0.475027,-0.649646, 0.863595,-0.293334, 0.956079,-0.470046,-0.651653,  0.44166, 0.692553, 0.771861, 0.302565,  1.04283,0.0417129,-0.267098,-0.102814,-0.143211
RF03144#URS0001A24651_12908/1-47#subopt4,  4.97342, 0.716059, -2.08883, 0.835082, -1.08144,  1.00573,-0.386731,-0.770984,-0.612786, 0.394314, 0.605259, 0.535948,0.0625058,-0.156297, 0.637222, 0.526126,-0.420996,-0.194281,-0.265534
RF03144#HF582854.1/780497-780546#subopt0,   4.26232,   1.62362, -0.576165,-0.0901827, 0.0913112,  -1.28423,  0.557109,   0.21922, -0.156369, -0.652234,-0.0960377,  0.759196,0.00767862,  0.131001,  0.686686, 0.0234819,  0.341573,  0.254203,  0.547327
RF03144#HF582854.1/780497-780546#subopt1,  4.29037, 0.826073,-0.206059,-0.326556, 0.220494,-0.106595,  -1.4344,-0.492055, -1.31184, 0.565362, 0.114015, 0.420373,-0.467437, 0.507742, 0.224006,-0.772809, 0.520248,0.0541828, 0.382368
RF03144#HF582854.1/780497-780546#subopt2,  4.74435, 0.606215,-0.204273,-0.971634,-0.104488, -0.47431,-0.718306, -1.15709, -1.73315, 0.989654,-0.359124, 0.302452,-0.485453,  0.77437, 0.102602,-0.358533, 0.544583, 0.709998, 0.350776
RF03144#HF582854.1/780497-780546#subopt3,  3.66064,  1.60338,-0.423282,  0.87824,-0.302153, 0.184817,  -1.4014,-0.155103, -1.16009, 0.105237,  0.51031, 0.882556,-0.325263, 0.488771, 0.627536,-0.656193, 0.834485,0.0410188, 0.256708
RF03144#HF582854.1/780497-780546#subopt4,  3.65297,  1.71447,-0.510858, 0.940274,  0.14381, 0.225699,   -1.105,0.0144337,-0.784973,0.0121019, 0.600737,  1.04517,-0.325968, 0.720464,0.0981538,-0.785176, 0.536247, 0.382157, 0.607794
RF03144#URS0001A23AD8_268739/1-50#subopt0,   4.26232,   1.62362, -0.576165,-0.0901827, 0.0913111,  -1.28423,  0.557109,   0.21922, -0.156369, -0.652234,-0.0960379,  0.759196,0.00767854,  0.131001,  0.686686, 0.0234819,  0.341573,  0.254203,  0.547327
RF03144#URS0001A23AD8_268739/1-50#subopt1,  4.29037, 0.826073,-0.206059,-0.326556, 0.220494,-0.106595,  -1.4344,-0.492055, -1.31184, 0.565362, 0.114015, 0.420373,-0.467436, 0.507742, 0.224007,-0.772809, 0.520248,0.0541828, 0.382368
RF03144#URS0001A23AD8_268739/1-50#subopt2,  4.74435, 0.606215,-0.204272,-0.971634,-0.104488, -0.47431,-0.718306, -1.15709, -1.73315, 0.989654,-0.359124, 0.302452,-0.485453,  0.77437, 0.102602,-0.358533, 0.544583, 0.709997, 0.350776
RF03144#URS0001A23AD8_268739/1-50#subopt3,  3.66064,  1.60338,-0.423282,  0.87824,-0.302153, 0.184817,  -1.4014,-0.155103, -1.16009, 0.105237,  0.51031, 0.882556,-0.325263, 0.488771, 0.627536,-0.656193, 0.834485,0.0410188, 0.256708
RF03144#URS0001A23AD8_268739/1-50#subopt4,  3.65297,  1.71447,-0.510858, 0.940274,  0.14381, 0.225699,   -1.105,0.0144337,-0.784973,0.0121019, 0.600737,  1.04517,-0.325968, 0.720463,0.0981539,-0.785177, 0.536246, 0.382157, 0.607794
RF02929#URS0000D6D1C3_926032/1-50#subopt0,  3.31667,  2.10673, -1.06507, 0.544013,-0.815413, -1.06636, 0.357658,-0.303811, 0.590009, 0.219648,-0.682632,-0.398079,-0.313356, -0.24535, 0.260654, 0.131932,-0.279252, 0.132124, -1.08745
RF02929#URS0000D6D1C3_926032/1-50#subopt1,   2.47803,   2.71835,-0.0875378,-0.0386477, -0.595454, -0.639139,-0.0193798, 0.0962433,  0.879042,  0.613571, -0.377765,  0.319887,   0.30174, 0.0863017,  0.539519, -0.447332, -0.506093, -0.692674, -0.650274
RF02929#URS0000D6D1C3_926032/1-50#subopt2,   3.41956,   2.36643,  -1.14991,  0.441001, -0.914723,   -1.0859,  0.324806, -0.194177,  0.776213,  0.519925,  -0.46767, -0.414552,  -0.36063, 0.0509979,-0.0767615,  0.137021, -0.464868, -0.131789, -0.690505
RF02929#URS0000D6D1C3_926032/1-50#subopt3,  2.56233,  2.50496, 0.102611, 0.289817,-0.401144,-0.478642,-0.480623,-0.443858, 0.646738,  0.78076,-0.174328, 0.243476, 0.405701, 0.365869, 0.321928,-0.272526,-0.474417,-0.471095,-0.763433
RF02929#URS0000D6D1C3_926032/1-50#subopt4,  3.50813,   2.1379,-0.943696, 0.766766,-0.720021,-0.927137,-0.217084,  -0.7945,  0.53617, 0.703352,-0.234131,-0.539479,-0.231592, 0.354666,-0.309032, 0.285023,-0.444239,0.0939841,-0.800877
RF02929#URS0000D6D1C3_926028/1-50#subopt0,  3.31667,  2.10673, -1.06507, 0.544013,-0.815414, -1.06636, 0.357658,-0.303811, 0.590009, 0.219648,-0.682633,-0.398079,-0.313356,-0.245351, 0.260654, 0.131931,-0.279252, 0.132123, -1.08745
RF02929#URS0000D6D1C3_926028/1-50#subopt1,   2.47803,   2.71835,-0.0875377,-0.0386478, -0.595454, -0.639139,-0.0193797, 0.0962431,  0.879042,  0.613571, -0.377765,  0.319887,  0.301739, 0.0863016,  0.539519, -0.447332, -0.506093, -0.692674, -0.650274
RF02929#URS0000D6D1C3_926028/1-50#subopt2,   3.41956,   2.36643,  -1.14991,  0.441001, -0.914723,   -1.0859,  0.324806, -0.194177,  0.776213,  0.519925,  -0.46767, -0.414552,  -0.36063,  0.050998,-0.0767615,  0.137021, -0.464868, -0.131789, -0.690505
RF02929#URS0000D6D1C3_926028/1-50#subopt3,  2.56233,  2.50496, 0.102611, 0.289817,-0.401144,-0.478642,-0.480624,-0.443858, 0.646738,  0.78076,-0.174328, 0.243476, 0.405701, 0.365869, 0.321928,-0.272526,-0.474416,-0.471095,-0.763433
RF02929#URS0000D6D1C3_926028/1-50#subopt4,  3.50813,   2.1379,-0.943696, 0.766766,-0.720021,-0.927137,-0.217084,  -0.7945,  0.53617, 0.703352,-0.234131, -0.53948,-0.231592, 0.354666,-0.309032, 0.285023,-0.444239,0.0939841,-0.800877
RF02929#URS0000D6D1C3_926027/1-50#subopt0,  3.31667,  2.10673, -1.06507, 0.544013,-0.815413, -1.06636, 0.357658,-0.303811, 0.590009, 0.219648,-0.682632,-0.398079,-0.313355, -0.24535, 0.260654, 0.131932,-0.279252, 0.132124, -1.08745
RF02929#URS0000D6D1C3_926027/1-50#subopt1,   2.47803,   2.71835,-0.0875374,-0.0386477, -0.595454, -0.639139,-0.0193798, 0.0962431,  0.879042,  0.613571, -0.377765,  0.319887,  0.301739, 0.0863017,  0.539519, -0.447332, -0.506093, -0.692674, -0.650274
RF02929#URS0000D6D1C3_926027/1-50#subopt2,   3.41956,   2.36643,  -1.14991,  0.441001, -0.914722,   -1.0859,  0.324806, -0.194177,  0.776213,  0.519925,  -0.46767, -0.414552,  -0.36063,  0.050998,-0.0767614,  0.137021, -0.464868, -0.131789, -0.690505
RF02929#URS0000D6D1C3_926027/1-50#subopt3,  2.56233,  2.50496, 0.102611, 0.289817,-0.401144,-0.478642,-0.480624,-0.443858, 0.646738,  0.78076,-0.174328, 0.243476, 0.405701, 0.365869, 0.321928,-0.272526,-0.474416,-0.471095,-0.763433
RF02929#URS0000D6D1C3_926027/1-50#subopt4,  3.50813,   2.1379,-0.943696, 0.766766,-0.720021,-0.927137,-0.217084,  -0.7945,  0.53617, 0.703352,-0.234131,-0.539479,-0.231592, 0.354667,-0.309032, 0.285023,-0.444239,0.0939841,-0.800877
RF02929#URS0000D6D1C3_926026/1-50#subopt0,  3.31667,  2.10673, -1.06507, 0.544013,-0.815413, -1.06636, 0.357658,-0.303811, 0.590009, 0.219648,-0.682632,-0.398079,-0.313356, -0.24535, 0.260654, 0.131931,-0.279252, 0.132124, -1.08745
RF02929#URS0000D6D1C3_926026/1-50#subopt1,   2.47803,   2.71835,-0.0875375,-0.0386477, -0.595454, -0.639139,-0.0193798, 0.0962431,  0.879042,  0.613571, -0.377765,  0.319887,  0.301739, 0.0863017,  0.539519, -0.447332, -0.506093, -0.692674, -0.650274
RF02929#URS0000D6D1C3_926026/1-50#subopt2,   3.41956,   2.36643,  -1.14991,  0.441001, -0.914723,   -1.0859,  0.324806, -0.194177,  0.776213,  0.519925,  -0.46767, -0.414552,  -0.36063, 0.0509978,-0.0767615,  0.137021, -0.464868, -0.131789, -0.690505
RF02929#URS0000D6D1C3_926026/1-50#subopt3,  2.56233,  2.50496, 0.102611, 0.289817,-0.401144,-0.478642,-0.480623,-0.443858, 0.646738,  0.78076,-0.174328, 0.243476, 0.405701, 0.365869, 0.321928,-0.272526,-0.474416,-0.471095,-0.763433
RF02929#URS0000D6D1C3_926026/1-50#subopt4,  3.50813,   2.1379,-0.943696, 0.766766,-0.720021,-0.927137,-0.217084,  -0.7945,  0.53617, 0.703352,-0.234131, -0.53948,-0.231592, 0.354667,-0.309032, 0.285023,-0.444239,0.0939841,-0.800877
RF03072#MRAE01000003.1/20582-20790#subopt0,  8.93542, -2.38688, -1.53162,  1.59232,0.0685987,  1.72458,-0.158213, -1.09684,0.0357367,-0.408282,-0.169296,  1.26872,0.0134562, -1.08321,-0.474696,   1.7966,  1.03754, -2.53121, 0.241526
RF03072#MRAE01000003.1/20582-20790#subopt1,   9.29687,  -3.47561,  -2.59224,  0.286183,  0.545764,  0.323623,  0.562763,  -1.00425, -0.444971,  -0.17772, -0.364926,  0.670553,  0.339168,  -0.65594, -0.220124,   1.74846,  0.449565,  -2.22593,-0.0410613
RF03072#MRAE01000003.1/20582-20790#subopt2,   8.36087,  -2.31501,  -2.45143,   2.95051,  0.125095,   1.49992, -0.237386, -0.449983, -0.207517, -0.403599,-0.0393464,   1.36177,  0.411242,  -1.08367,-0.0356214,   1.54191,   1.10443,  -2.49799, -0.188234
RF03072#MRAE01000003.1/20582-20790#subopt3,   8.59271,  -2.52501,  -2.69554,   3.01833, 0.0112399,   1.16514,-0.0328251, -0.648736, -0.446788, -0.242588, -0.394524,   1.12881,  0.156493, -0.936221, -0.103322,   1.86915,  0.918331,  -2.44572, -0.205716
RF03072#MRAE01000003.1/20582-20790#subopt4,  9.63214,  -3.6299, -2.16369,-0.681488, 0.736866, -0.27889, 0.524538,-0.982522,-0.761357,0.0828809,-0.449238, 0.394362, 0.468116,-0.292682,-0.469316,  1.44408, 0.263725, -1.44355, 0.173189
RF03072#HF952018.1/169277-169485#subopt0,  9.22441, -1.45236,-0.175869,-0.958129,-0.465226, 0.279848,  2.49933, -1.25785, 0.453479,0.0709369,  -1.5278,  -1.2859,   0.3712, 0.240512, 0.520177, 0.661407,  1.56714,-0.635896, 0.595476
RF03072#HF952018.1/169277-169485#subopt1,  8.90005, -1.22227,-0.343669,-0.325667,-0.299709,0.0925444,  2.61691, -1.43844, 0.451734, 0.190951,  -1.6269, -1.20911, 0.444991,  0.23107, 0.395616,  0.50414,   1.0544,-0.872127, 0.774583
RF03072#HF952018.1/169277-169485#subopt2,  9.15758, -1.39937,-0.787511,-0.273826,-0.299698,-0.219514,   2.8677, -1.46101, 0.568768,0.0869782, -1.40137, -1.24456, 0.109453, 0.556698, 0.239752, 0.537426,  1.23425,-0.636507, 0.824465
RF03072#HF952018.1/169277-169485#subopt3,   9.18385,  -1.62526,-0.0755417, -0.908864, -0.790482,  0.316084,   2.17772,  -1.57431, -0.404753,  0.241387,  -1.39317,  -1.67683,  0.385516,-0.0961882,  0.703535,  0.430419,   1.91834, -0.878328,  0.503049
RF03072#HF952018.1/169277-169485#subopt4,  8.85948, -1.39517,-0.243338,-0.276404,-0.624961,  0.12878,   2.2953,  -1.7549,-0.406505, 0.361401, -1.49226, -1.60003, 0.459305, -0.10563, 0.578975, 0.273154,   1.4056, -1.11456,  0.68216
RF03072#URS0000D69D6C_12908/1-203#subopt0,   9.36253,    -2.721,  -2.18566, -0.160412,  0.947171, 0.0839331,  0.157342,  0.110647,  0.904924, -0.571213,-0.0362749,  0.755801,   1.44371, -0.599369, -0.299253, -0.255513,  0.540558,  -1.07048,  0.431655
RF03072#URS0000D69D6C_12908/1-203#subopt1,  9.35461, -2.68164, -2.21333,-0.167986,  1.01922, 0.146662,0.0823302, 0.070556, 0.993733,-0.625179,0.0108147, 0.678189,  1.43793, -0.59971, -0.29125,-0.291093, 0.526566, -1.07111, 0.429521
RF03072#URS0000D69D6C_12908/1-203#subopt2,  8.78165, -2.36199, -1.79954,  1.78468,  1.49922,  1.47649,  0.74743,-0.448798, 0.282368, 0.322288, 0.207597, 0.911509,  1.85191,-0.561472,-0.714776, 0.917275,0.0246567, -1.66658, 0.334431
RF03072#URS0000D69D6C_12908/1-203#subopt3,   8.79402,  -2.48268,  -1.51549,   1.88491,   1.31769,  0.939915,   0.34961, -0.492567, -0.140286,  0.237557,  0.146147,  0.684175,   1.86794, -0.677464,-0.0872869,  0.979153,  0.234322,   -1.9078,  0.117761
RF03072#URS0000D69D6C_12908/1-203#subopt4,  9.02605, -2.66085, -1.79312,  1.95569,  1.21376, 0.624652, 0.565424,-0.738886,-0.373275, 0.348095,-0.222342, 0.405377,  1.58321,-0.483607, -0.16544,  1.34575,0.0640212, -1.87361, 0.137869
RF03072#URS0000D672C5_573061/1-205#subopt0,   8.8005, -1.78622, -1.76856,0.0640079,-0.135807,-0.112679,  3.02651,-0.403678,  1.00676, 0.433412, -1.42062, 0.192207, 0.915544,-0.741948, 0.157282, 0.496519,0.0584915,  -1.5229, 0.348838
RF03072#URS0000D672C5_573061/1-205#subopt1,    9.05258,   -1.96214,   -2.19633,    0.10738,  -0.147234,  -0.453641,    3.29161,  -0.442974,    1.09379,   0.348613,   -1.22363,   0.125923,   0.552809,   -0.39556,-0.00823632,   0.547861,   0.215884,   -1.28097,   0.403442
RF03072#URS0000D672C5_573061/1-205#subopt2,   8.67575,  -1.92547,  -2.40976,-0.0734441,  0.124784,  -0.29059,   2.88092,  -0.46744,   1.16009,  0.228312,  -1.49771,  0.482714,   1.15926, -0.901826,-0.0729967,  0.413806, -0.108239,  -1.25511,  0.384427
RF03072#URS0000D672C5_573061/1-205#subopt3,  8.87075, -2.08563, -2.97107,-0.153249,  0.13341,-0.724425,    3.102, -0.52317,   1.2737, 0.122192, -1.20337, 0.437485, 0.747338,-0.517154,-0.183002, 0.441414,   0.1322,-0.997467, 0.344267
RF03072#URS0000D672C5_573061/1-205#subopt4,  9.45899, -2.90054, -2.81101,  1.03144, 0.672771,-0.230027,  2.61249,-0.498489, 0.159531, 0.562661, -1.09117, 0.182435,  1.31085,-0.282005,-0.338152, 0.782337,-0.341728, -1.69306, -0.07007
RF02987#URS0000D6C3CB_12908/1-87#subopt0,  5.31441, 0.336528, -1.77044,-0.125332,-0.842466, -1.05514,0.0752916,-0.310549, -1.48327, -1.58009, -1.31252, 0.301482,-0.669315,-0.221539,  1.17184, 0.607812,-0.246254, 0.336321,-0.313286
RF02987#URS0000D6C3CB_12908/1-87#subopt1,   5.29401,  0.224855,  -1.58368, 0.0790876, -0.964477, -0.922784,  0.179795, -0.691463,   -2.4863,  -1.13379, -0.805818,-0.0503817, -0.543604,-0.0780629,  0.986601, -0.201633,  0.266159,  0.415853,-0.0561692
RF02987#URS0000D6C3CB_12908/1-87#subopt2,    5.2918,  0.262534,   -1.7879, -0.285605,   -1.4107, 0.0611175,  0.331649, -0.824164,  -2.20069, -0.717522, -0.663384, 0.0975227, -0.965558, -0.209563,  0.682403, -0.176992,  0.371157,  0.176074,-0.0552984
RF02987#URS0000D6BE2C_12908/1-87#subopt0,  5.31441, 0.336528, -1.77044,-0.125332,-0.842466, -1.05514,0.0752916,-0.310549, -1.48327, -1.58009, -1.31252, 0.301482,-0.669315,-0.221539,  1.17184, 0.607812,-0.246254, 0.336321,-0.313286
RF02987#URS0000D6BE2C_12908/1-87#subopt1,   5.29401,  0.224855,  -1.58368, 0.0790876, -0.964477, -0.922784,  0.179795, -0.691463,   -2.4863,  -1.13379, -0.805818,-0.0503817, -0.543604,-0.0780629,  0.986601, -0.201633,  0.266159,  0.415853,-0.0561692
RF02987#URS0000D6BE2C_12908/1-87#subopt2,    5.3122,  0.374204,  -1.97467, -0.490026,  -1.28869,-0.0712378,  0.227143, -0.443254,  -1.19766,  -1.16382,  -1.17009,  0.449388,  -1.09127, -0.353038,  0.867644,  0.632455, -0.141259, 0.0965428, -0.312414
RF02987#URS0000D6BE2C_12908/1-87#subopt3,    5.2918,  0.262534,   -1.7879, -0.285605,   -1.4107, 0.0611175,  0.331649, -0.824164,  -2.20069, -0.717522, -0.663384, 0.0975227, -0.965558, -0.209563,  0.682403, -0.176992,  0.371157,  0.176074,-0.0552984
RF02987#URS0000D68C86_12908/1-89#subopt0,   5.57755, -0.319949,   -1.9853,  0.208249, -0.745519,  -1.00212,  0.269496, -0.798417,  -2.32662,  -1.29468,  -1.12881,-0.0707395, -0.803222, -0.401314,  0.877765,  0.435876, -0.301616,  0.349965,  -0.14856
RF02987#URS0000D68C86_12908/1-89#subopt1,  5.50379,  0.48191, -1.73606,0.0313297,-0.426333,-0.783807,-0.811504,0.0340129,  -1.8529, -1.48658,-0.558274, 0.512831,-0.198188,-0.571187, 0.610216,-0.194039, 0.486184,-0.080238, 0.487249
RF02987#URS0000D68C86_12908/1-89#subopt2,   5.89933,  0.349984,  -2.36595,0.00938412, -0.554074,  -1.02243, -0.333385,-0.0137736,  -1.17228,  -1.16607,  -1.30919,  0.719475,-0.0171933, -0.113088,   1.12602,  0.494205,  0.548008,-0.0236276,  0.242016
RF02987#URS0000D68C86_12908/1-89#subopt3,   5.91791,  0.148313,  -2.18304,  0.137419, -0.590565,  -1.06271, -0.695816, -0.159334,  -2.08752,  -1.32018, -0.904723,  0.275563, -0.381626, -0.505489,  0.622541,  0.213592,  0.257558,-0.0139879,  0.493365
RF02987#URS0000D68C86_12908/1-89#subopt4,   5.29032,   0.21337,  -1.66094,  0.020431, -0.840763,   -1.0018, 0.0261509, -0.566799,  -2.28021,   -1.4423, -0.928009,6.7857e-05, -0.767049, -0.353561,  0.884612,  0.241571, -0.143722,  0.294403,-0.0239544
RF02987#URS0000D68F88_12908/1-87#subopt0,   5.77164, -0.629299,  -1.57194,   1.59401, -0.146059,-0.0708654,  0.926573, -0.153115, -0.506351, -0.866423,  -0.67543,   0.40054, -0.461098, -0.388531,  0.698819,   0.14168,   1.10716, -0.518134,  -0.31683
RF02987#URS0000D68F88_12908/1-87#subopt1,  5.71195,-0.590772, -1.38123,  1.81676, 0.185047,-0.891158, 0.695519,-0.162993,-0.656591, -1.27047,-0.783852, 0.277491,-0.184314,-0.342037, 0.907534, 0.102641,  1.10172,-0.439541, -0.33282
RF02987#URS0000D68F88_12908/1-87#subopt2,  5.70773, 0.151559, -2.74874,  1.41426, -1.01596, -1.01452,0.0295861,-0.142498, -1.65799,-0.787466,-0.911268, 0.335253,-0.495907,-0.447874,  1.11247, 0.488158, 0.493308, 0.574201,-0.220177
RF02987#URS0000D68F88_12908/1-87#subopt3,   6.33371,-0.0771003,  -1.95706,-0.0950161, -0.408513, -0.870106,  -1.00934, -0.698971,  -2.03578, -0.652093, -0.841795,   0.81056,  0.157288,-0.0337031,  0.610939,  0.152996,   0.60341,  0.453632,  0.203137
RF02987#URS0000D68F88_12908/1-87#subopt4,    6.4732,0.00316789,  -2.08897, -0.406849, -0.510514, -0.432994, -0.688368, -0.248323,   -1.0168, -0.429323, -0.964359,  0.960824,  0.213897, 0.0413443,  0.917518,  0.744785,   0.49072,  0.403391, -0.174667
RF03169#URS0000D69050_12908/1-85#subopt0,    5.46548,   0.923201,  -0.789365,    -0.6302, -0.0809389, -0.0332488,  -0.455455,   0.867754,-0.00535275,   0.644177,   0.530714,   -0.07253,   0.758083,    0.73225,    0.60206,   0.437118,  -0.109606,   0.326528,  -0.301773
