 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11
RF03157#URS0001A23AA2_1121879/1-50#subopt0,  4.37549,  1.58377, 0.567749, 0.555918,-0.407522,-0.416554, 0.548311, -1.52794,-0.264676, 0.599998,  1.54487
RF03157#URS0001A23AA2_1121879/1-50#subopt1,   4.9065,  1.45757, 0.242044,  1.19331,-0.220666,-0.261995,  0.73801, -1.75236,-0.337395,0.0711895,  1.69742
RF03157#URS0001A23AA2_1121879/1-50#subopt2,  4.38355,  1.47377, 0.790198, 0.210973,-0.413086,-0.448251,  0.44927, -1.24128,0.0342739, 0.650101,  1.55176
RF03157#URS0001A2345C_675816/1-50#subopt0,   4.45257,   1.65021,   1.22675,  0.688995, -0.639698,   -0.6902,-0.0417314, -0.601503,  -0.03128,  0.454506,  0.236711
RF03157#URS0001A2345C_675816/1-50#subopt1,  4.43739,  1.47499,  1.03785, 0.557987,-0.617207,-0.638577,0.0441192,-0.900168, 0.774088,  0.29177, 0.971978
RF03157#URS0001A2345C_675816/1-50#subopt2,  4.38738,  1.76271, 0.744706, 0.678051,-0.421781,-0.449359, 0.525357, -1.26603, -1.02674, 0.744765, 0.845166
RF03157#CP002209.1/3979465-3979416#subopt0,   4.45257,   1.65021,   1.22675,  0.688995, -0.639698,   -0.6902,-0.0417314, -0.601503,-0.0312801,  0.454506,  0.236711
RF03157#CP002209.1/3979465-3979416#subopt1,  4.43739,  1.47499,  1.03785, 0.557987,-0.617206,-0.638577,0.0441192,-0.900168, 0.774088,  0.29177, 0.971978
RF03157#CP002209.1/3979465-3979416#subopt2,  4.38738,  1.76271, 0.744706,  0.67805,-0.421782,-0.449359, 0.525357, -1.26603, -1.02674, 0.744766, 0.845166
RF03157#MAJZ01001034.1/16245-16196#subopt0,   4.45257,   1.65021,   1.22675,  0.688995, -0.639698,   -0.6902,-0.0417313, -0.601503,  -0.03128,  0.454506,  0.236711
RF03157#MAJZ01001034.1/16245-16196#subopt1,  4.43739,  1.47499,  1.03785, 0.557987,-0.617206,-0.638578,0.0441193,-0.900168, 0.774088,  0.29177, 0.971978
RF03157#MAJZ01001034.1/16245-16196#subopt2,  4.38738,  1.76271, 0.744706,  0.67805,-0.421781,-0.449359, 0.525357, -1.26603, -1.02674, 0.744766, 0.845166
RF01704#CP006269.1/1896519-1896580#subopt0,   4.8342,  1.06445,  1.82372, 0.575326, 0.133404,-0.517044, 0.254764, 0.152821, -0.59077, 0.474485,-0.925061
RF01704#CP006269.1/1896519-1896580#subopt1,   4.27372,   1.75732,  0.959382,   1.06919,-0.0218324, -0.148044, 0.0645474,   0.35191, -0.333564,  0.886111,  -1.13562
RF01704#CP006269.1/1896519-1896580#subopt2,  4.92609,  1.11105,  1.74442, 0.795902,0.0581795,-0.473784, 0.149857,-0.107464,-0.662438, 0.591344,-0.962307
RF01704#AE017126.1/924002-923944#subopt0,    4.3905,   1.57096,  0.731509,  0.871241, 0.0797981,-0.0284814,  0.624995,  0.677177,  0.439592, 0.0699011, -0.365175
RF01704#AE017126.1/924002-923944#subopt1,    3.42719,     2.0911,-0.00567784,    1.05741, -0.0347432,  -0.270679,   0.392913,  0.0330281, -0.0638893,  -0.472011,  -0.379724
RF01704#AE017126.1/924002-923944#subopt2,   5.05811,  0.838307,   1.34966,  0.691055,-0.0278424, -0.777309,   1.03542, -0.365063, -0.100353, -0.558603, -0.581813
RF01704#AANO01000053.1/1174-1115#subopt0,   4.12658,   1.29346,  0.927286,  0.724005, -0.920671, -0.153298,  0.666585,-0.0460223, -0.550791, 0.0843706,  -0.52356
RF01704#AANO01000053.1/1174-1115#subopt1,  4.05975,  1.35849, 0.721597,  1.17849,-0.624836,-0.396888, 0.599509,-0.379539,-0.585373,-0.126732,-0.593811
RF01704#AANO01000053.1/1174-1115#subopt2,   3.75108,   1.84583, -0.207779,   1.91475, -0.188026, -0.289152, -0.315878, -0.198341, -0.837737,  0.331108,-0.0879838
RF01704#DS990556.1/1717245-1717309#subopt0,   4.92029,  0.567623,   1.30184,   0.77205,  -0.48419, -0.408211,-0.0834116, -0.146919,  0.454032, -0.749039,   1.25194
RF01704#DS990556.1/1717245-1717309#subopt1,   4.93243,  0.303131,   1.11964,  0.534884, -0.853806, -0.433255,  0.881375,-0.0153796,  0.808369, -0.864566,  0.410205
RF01704#DS990556.1/1717245-1717309#subopt2,  4.30374,  1.08006,   1.6992,-0.565061,-0.330018,-0.975164, 0.639604,0.0518496,  1.04169,-0.903293,0.0355488
RF01704#BX548174.1/627956-627894#subopt0,   3.29677,   2.22017,  0.190179,   1.03114,  0.438133,-0.0132287,  0.423719,-0.0448358, -0.688608, -0.325061, -0.968865
RF01704#BX548174.1/627956-627894#subopt1,  3.98027,  2.25656,-0.451097, 0.848305, 0.174227, -0.19764,-0.233049,0.0306248,-0.732897,-0.647028, -1.63094
RF01704#BX548174.1/627956-627894#subopt2,    4.2524,   1.71848,  0.803235,  0.936544,    0.2399,-0.0732622,  0.924996, -0.109069, -0.216875,-0.0943044,  -1.52093
RF03144#URS0001A2426A_12908/1-47#subopt0,  3.75331,  1.67273,  1.09931,-0.815865, 0.621736, 0.599873, 0.772003,-0.173143,-0.156855,-0.666819, -0.75032
RF03144#URS0001A2426A_12908/1-47#subopt1,  4.40903,  1.17816, 0.306388, 0.157685,0.0949237,  1.56588,  1.50528,-0.912795, 0.609047,-0.373722,-0.737303
RF03144#URS0001A2426A_12908/1-47#subopt2,   4.44064,   1.33978,  0.574668,  0.421516,  0.235655,   1.28929,   1.33976, -0.283442,-0.0316273, -0.493139, -0.944868
RF03144#URS0001A24651_12908/1-47#subopt0,  4.46758, 0.755209,   1.6926, -1.03128,  1.25833,  1.10704,  0.20409,-0.223165,  1.35479, 0.542432,-0.255532
RF03144#URS0001A24651_12908/1-47#subopt1,  4.57095, 0.679933,  1.43242,-0.996559, 0.647378,   0.8755, 0.697353, 0.303793,  1.55518,-0.297546,-0.044598
RF03144#URS0001A24651_12908/1-47#subopt2,  4.42141, 0.953114,  2.10847,-0.640997,  1.34614, 0.704998,-0.120434, 0.545196, 0.714667, 0.325199,-0.394989
RF03144#HF582854.1/780497-780546#subopt0,   4.27042,   1.51852,   1.00039,  0.368101,  -0.73372,  -1.14107,-0.0112182, -0.121723, 0.0723806, -0.338746, -0.395608
RF03144#HF582854.1/780497-780546#subopt1,   4.2773, 0.778099, 0.244547, 0.222407,0.0811491, 0.806513,  1.25183, -1.15956, 0.385836,-0.446622,  0.40419
RF03144#HF582854.1/780497-780546#subopt2,  4.72082, 0.623717, 0.311853, 0.792102, 0.298853, 0.374938, 0.708392, -2.03082,0.0276432,-0.771967, 0.734132
RF03144#URS0001A23AD8_268739/1-50#subopt0,   4.27042,   1.51852,   1.00039,  0.368101,  -0.73372,  -1.14107,-0.0112181, -0.121723, 0.0723806, -0.338746, -0.395608
RF03144#URS0001A23AD8_268739/1-50#subopt1,  4.27731, 0.778099, 0.244547, 0.222407,0.0811491, 0.806513,  1.25183, -1.15956, 0.385835,-0.446623,  0.40419
RF03144#URS0001A23AD8_268739/1-50#subopt2,  4.72082, 0.623717, 0.311853, 0.792103, 0.298853, 0.374937, 0.708393, -2.03082,0.0276433,-0.771967, 0.734132
RF03144#URS0001A23844_12908/1-47#subopt0,  4.46758, 0.755209,   1.6926, -1.03128,  1.25833,  1.10704,  0.20409,-0.223165,  1.35479, 0.542432,-0.255532
RF03144#URS0001A23844_12908/1-47#subopt1,   4.57095,  0.679933,   1.43242, -0.996559,  0.647378,    0.8755,  0.697353,  0.303794,   1.55518, -0.297545,-0.0445981
RF03144#URS0001A23844_12908/1-47#subopt2,  4.42141, 0.953114,  2.10847,-0.640997,  1.34614, 0.704998,-0.120434, 0.545196, 0.714667, 0.325199,-0.394989
RF02929#URS0000D6D1C3_926032/1-50#subopt0,   3.33128,   1.83811,   1.60739,  -0.52055,  0.308818,  -1.16804,  0.166887, -0.362241, -0.886966,  0.323603,-0.0285665
RF02929#URS0000D6D1C3_926032/1-50#subopt1,   2.51249,   2.68828,   0.69758, 0.0313162,  0.379618, -0.512013,  0.182296, 0.0981644, -0.915073,  0.829827,-0.0784633
RF02929#URS0000D6D1C3_926032/1-50#subopt2,  3.43472,  2.11179,  1.70497,-0.399463, 0.409681, -1.10508, 0.267381,-0.143343,-0.937704, 0.741561,0.0831689
RF02929#URS0000D6D1C3_926028/1-50#subopt0,   3.33128,   1.83811,   1.60739,  -0.52055,  0.308818,  -1.16804,  0.166887, -0.362241, -0.886966,  0.323603,-0.0285667
RF02929#URS0000D6D1C3_926028/1-50#subopt1,   2.51249,   2.68828,   0.69758, 0.0313162,  0.379618, -0.512013,  0.182296, 0.0981644, -0.915073,  0.829827,-0.0784633
RF02929#URS0000D6D1C3_926028/1-50#subopt2,  3.43473,  2.11179,  1.70497,-0.399462, 0.409681, -1.10508, 0.267381,-0.143343,-0.937704, 0.741561,0.0831689
RF02929#URS0000D6D1C3_926027/1-50#subopt0,   3.33128,   1.83812,   1.60739, -0.520551,  0.308818,  -1.16804,  0.166887, -0.362241, -0.886966,  0.323603,-0.0285667
RF02929#URS0000D6D1C3_926027/1-50#subopt1,   2.51249,   2.68828,   0.69758, 0.0313162,  0.379618, -0.512013,  0.182296, 0.0981643, -0.915073,  0.829827,-0.0784635
RF02929#URS0000D6D1C3_926027/1-50#subopt2,  3.43473,  2.11179,  1.70497,-0.399463, 0.409681, -1.10508, 0.267381,-0.143343,-0.937704, 0.741561,0.0831691
RF02929#URS0000D6D1C3_926026/1-50#subopt0,   3.33128,   1.83812,   1.60739, -0.520551,  0.308818,  -1.16804,  0.166887, -0.362241, -0.886966,  0.323603,-0.0285665
RF02929#URS0000D6D1C3_926026/1-50#subopt1,   2.51249,   2.68828,   0.69758, 0.0313162,  0.379618, -0.512013,  0.182296, 0.0981644, -0.915073,  0.829827,-0.0784633
RF02929#URS0000D6D1C3_926026/1-50#subopt2,  3.43473,  2.11179,  1.70497,-0.399463, 0.409681, -1.10508, 0.267381,-0.143343,-0.937704, 0.741561,0.0831691
RF02929#URS0000D6D1C3_913088/1-50#subopt0,   3.33128,   1.83812,   1.60739, -0.520551,  0.308818,  -1.16804,  0.166887, -0.362241, -0.886966,  0.323603,-0.0285666
RF02929#URS0000D6D1C3_913088/1-50#subopt1,   2.51249,   2.68828,   0.69758, 0.0313161,  0.379618, -0.512013,  0.182296, 0.0981644, -0.915073,  0.829827,-0.0784635
RF02929#URS0000D6D1C3_913088/1-50#subopt2,  3.43473,  2.11179,  1.70497,-0.399462, 0.409681, -1.10508, 0.267381,-0.143343,-0.937705, 0.741561,0.0831688
RF03072#MRAE01000003.1/20582-20790#subopt0,   8.9293, -2.74777, 0.970031, -1.86159, 0.636587, 0.867638,-0.290058,-0.342566, 0.459002,-0.154338, -1.48558
RF03072#MRAE01000003.1/20582-20790#subopt1,  9.27132, -3.91233,   1.8988,-0.310256,-0.373576, 0.163688,-0.576944,-0.844962, 0.190921,-0.307935,-0.597784
RF03072#MRAE01000003.1/20582-20790#subopt2,  8.34332, -2.83161,  1.88177, -3.05328, 0.244221, 0.600185,0.0443041,0.0629096,  0.63893,-0.291867,  -1.0687
RF03072#HF952018.1/169277-169485#subopt0,  9.22716, -1.56254,0.0193728, 0.774994, 0.644432,-0.833193, -2.37479,-0.786082, -1.20448,-0.133143, 0.259489
RF03072#HF952018.1/169277-169485#subopt1,  8.90191, -1.37575, 0.207992, 0.174052, 0.378168, -1.09167, -2.50249, -1.02306, -1.29167,0.0117582, 0.309771
RF03072#HF952018.1/169277-169485#subopt2,  9.14527,  -1.6293, 0.616928,  0.19782, 0.197973, -1.38908, -2.51572,-0.999135, -1.15667, 0.147763, 0.226084
RF03072#URS0000D69D6C_12908/1-203#subopt0,   9.36641,  -3.16479,   1.55114,  0.354936, -0.690864,  0.272948,-0.0776503,  0.480998, 0.0616902,  0.498794, -0.913262
RF03072#URS0000D69D6C_12908/1-203#subopt1,   9.35715,  -3.12137,   1.55503,  0.353887, -0.712664,  0.361464,-0.0230491,  0.511935,  0.144509,  0.593043,  -0.98992
RF03072#URS0000D69D6C_12908/1-203#subopt2,  8.77783, -2.71599, 0.992598, -1.90045,-0.851388,  1.05983, -1.17316, 0.113861, 0.584444, 0.524021,-0.312521
RF03072#URS0000D672C5_573061/1-205#subopt0,   8.82281,  -2.20866,    1.6729,-0.0834743, -0.167598,  -1.37703,  -3.17067, -0.278532,   -1.7223,  0.390923,-0.0490788
RF03072#URS0000D672C5_573061/1-205#subopt1,   9.05988,  -2.45471,   2.06809,-0.0508739, -0.343762,  -1.70254,  -3.18052, -0.288957,  -1.61328,  0.504449, -0.103492
RF03072#URS0000D672C5_573061/1-205#subopt2,  8.69077, -2.43662,  2.24721,0.0412776,-0.463943, -1.26177, -2.92755,-0.384583,  -1.6215, 0.332333,-0.411653
RF03072#CP002160.1/3731512-3731308#subopt0,   8.82281,  -2.20866,    1.6729,-0.0834744, -0.167598,  -1.37703,  -3.17067, -0.278532,   -1.7223,  0.390923,-0.0490788
RF03072#CP002160.1/3731512-3731308#subopt1,   9.05988,  -2.45471,   2.06808,-0.0508739, -0.343762,  -1.70254,  -3.18052, -0.288957,  -1.61328,  0.504449, -0.103492
RF03072#CP002160.1/3731512-3731308#subopt2,  8.69077, -2.43662,  2.24721,0.0412775,-0.463943, -1.26177, -2.92755,-0.384584,  -1.6215, 0.332333,-0.411653
RF02987#URS0000D6C3CB_12908/1-87#subopt0,  5.29569,0.0266161,  2.04022, 0.164976,  0.21623, -1.23428, 0.529262,-0.960872,0.0769704,  -2.2569,-0.587429
RF02987#URS0000D6C3CB_12908/1-87#subopt1,   5.27905,-0.0939561,   1.81314,-0.0389857,  0.409985,  -1.18841,  0.443013,  -1.47019,  0.797531,  -2.42271,  0.430156
RF02987#URS0000D6C3CB_12908/1-87#subopt2,  5.28167,-0.109671,  2.04392,0.0466263,  1.18628,-0.478773,  -0.1232, -1.31375, 0.632005, -2.11494, 0.319288
RF02987#URS0000D6BE2C_12908/1-87#subopt0,  5.29569,0.0266162,  2.04022, 0.164976,  0.21623, -1.23428, 0.529262,-0.960872,0.0769705,  -2.2569,-0.587429
RF02987#URS0000D6BE2C_12908/1-87#subopt1,   5.27905,-0.0939561,   1.81314,-0.0389857,  0.409985,  -1.18841,  0.443013,  -1.47019,  0.797531,  -2.42271,  0.430156
RF02987#URS0000D6BE2C_12908/1-87#subopt2,   5.29831, 0.0109014,   2.27099,  0.250584,  0.992529,  -0.52464,-0.0369506, -0.804428,-0.0885552,  -1.94913, -0.698299
RF02987#URS0000D68C86_12908/1-89#subopt0,  5.55372,-0.649717,  2.13177,-0.225834, 0.169518, -1.24077, 0.414364, -1.57691, 0.569972, -2.54567,0.0888871
RF02987#URS0000D68C86_12908/1-89#subopt1,   5.48883,  0.145839,   1.88868, 0.0550533,-0.0213119, -0.563219,   1.19719, -0.662526,  0.826815,   -2.0552, -0.246318
RF02987#URS0000D68C86_12908/1-89#subopt2,  5.88125,-0.059615,  2.54719,0.0577649,0.0191018,-0.833772, 0.884878,-0.657838,-0.195786, -1.85517,-0.545153
RF02987#URS0000D68F88_12908/1-87#subopt0,  5.76211, -1.03651,  1.65402, -1.64635,-0.197506,-0.952474,  -0.4791,-0.226509, 0.066353, -1.02291,-0.549101
RF02987#URS0000D68F88_12908/1-87#subopt1,  5.70107,-0.926003,   1.4469, -1.69604,-0.758187, -1.51111,0.0626764, -0.36904, 0.201454, -1.26087,  -0.5747
RF02987#URS0000D68F88_12908/1-87#subopt2,  5.68654,-0.356299,  2.99639, -1.39627, 0.268447, -1.40398, 0.903351,-0.791644, 0.183574, -1.92272,0.0771827
RF02987#URS0000D66C33_12908/1-87#subopt0,  5.68654,-0.356299,  2.99639, -1.39627, 0.268447, -1.40398, 0.903351,-0.791644, 0.183574, -1.92272,0.0771827
RF02987#URS0000D66C33_12908/1-87#subopt1,   6.30066, -0.430947,   1.99464, 0.0842459,  0.111878, -0.316055,   1.34705,  -1.54323,  0.390219,  -1.98453,-0.0552902
RF02987#URS0000D66C33_12908/1-87#subopt2,   6.44909, -0.376589,   2.17451,  0.322835,  0.331965,-0.0302405,  0.886412,  -0.81289, -0.270841,  -1.43511, -0.445772
RF03169#URS0000D69050_12908/1-85#subopt0,   5.47159,  0.724636,  0.902876,  0.767356,-0.0047717,  0.562664,  0.542195,  0.669636, 0.0622626,  0.450491,  0.743074
RF03169#URS0000D69050_12908/1-85#subopt1,   4.93134,   1.60251,  0.111995,    0.5624, -0.535671,  -1.03164,-0.0490604,  0.630515,   0.40492, -0.780728, -0.719333
RF03169#URS0000D69050_12908/1-85#subopt2,  6.13869, 0.216145,  1.25182, 0.402941,-0.383144, -1.70623, 0.631961, 0.451624, 0.505798,-0.719637,-0.899448
RF03169#URS0000D6778A_12908/1-87#subopt0,  6.47864,0.0528956, 0.839613,  1.87354,-0.112874,-0.227676, -1.23276,-0.480467,  0.28794,-0.867737,-0.270399
RF03169#URS0000D6778A_12908/1-87#subopt1,   5.97503,  0.764717,  0.175377,   2.31693, 0.0575512,-0.0869574,  -1.25978, -0.112807,  0.840264, -0.685044, -0.504123
RF03169#URS0000D6778A_12908/1-87#subopt2,  5.09289,-0.346127,-0.940756,-0.715534, -1.69559, 0.718845, 0.140714, 0.093249, 0.359633,-0.381408, -0.37567
RF03169#MGMJ01000061.1/3123-3039#subopt0,  5.29133,-0.842676, 0.887886,-0.724652,-0.244872, 0.661413,  0.23203, -1.93566, 0.794874, 0.134879,-0.973932
RF03169#MGMJ01000061.1/3123-3039#subopt1,  5.94318, -1.49634,  1.10294,-0.675227,-0.589612, 0.546367, 0.743291,-0.975495,   1.3466, -1.01449, -1.08321
RF03169#MGMJ01000061.1/3123-3039#subopt2,   5.88452,  -1.31725,   1.07547, -0.906186,-0.0633137,  0.985595,   0.80554,  -1.61348,   1.02666, -0.518795,  -1.28152
RF03169#URS0000D66ED9_12908/1-87#subopt0,    5.4363, -0.818916, -0.431564,  0.606562, -0.271248, -0.226825,  -1.26952,  -1.26086,-0.0554689, -0.656093,  0.930302
RF03169#URS0000D66ED9_12908/1-87#subopt1,  5.42316,-0.666999,-0.630711,  0.50709,-0.252565,-0.753132,-0.547611, -1.23039,-0.464917,-0.788499, 0.735772
RF03169#URS0000D66ED9_12908/1-87#subopt2,  5.37218,-0.778419, -0.65587, 0.516654,-0.702076,-0.740267,-0.749113, -1.35127,0.0345682,-0.804702, 0.919579
RF03169#URS0000D6C390_12908/1-84#subopt0,  5.19391,-0.395849, -0.55142,-0.891654,-0.742068, 0.728691,-0.344748, -0.52502,-0.942284, 0.854164,-0.879847
RF03169#URS0000D6C390_12908/1-84#subopt1,  5.49911,-0.518101, -0.48344,-0.458341, -0.50624,  0.35481,-0.762957, -1.28865, -1.39113, 0.436914, -0.53927
RF03169#URS0000D6C390_12908/1-84#subopt2,  5.72265,-0.646587,-0.854072,0.0538675,-0.756285, 0.686662,-0.224071,-0.948597, -1.03767, 0.816305,-0.738438
RF02958#URS0000D6753D_12908/1-114#subopt0,   6.46428,  0.281525,  0.440356, -0.996602,   1.38095,   1.14053, -0.158309,   1.14057,  0.320563,-0.0262106,  0.713303
RF02958#URS0000D6753D_12908/1-114#subopt1,  6.32097, 0.751022,-0.479537, -0.62229,  1.60224, 0.504396,-0.970363,0.0628573, 0.900057, 0.760388, 0.480071
RF02958#URS0000D6753D_12908/1-114#subopt2,  6.48785, 0.673251,-0.501105, -0.58831,  1.29824, 0.119963,-0.785441,-0.217764,  1.25618, 0.332747,0.0135833
RF02958#URS0000D66605_1235798/1-114#subopt0,   6.23967,   1.10749,-0.0938559,-0.0522556,  0.418123, -0.620749,  0.938508,  0.876732, -0.651845,  0.606758,  0.650561
RF02958#URS0000D66605_1235798/1-114#subopt1,   6.25266,   1.24582,-0.0756644,-0.0493181,  0.804607, -0.354433,   1.01864,   1.02132,  -1.02051,  0.370525,  0.332938
RF02958#URS0000D66605_1235798/1-114#subopt2,  6.09169,  1.05289, 0.304681, 0.804787, 0.584784,-0.318252,  1.07281, 0.621991,-0.989798, 0.826046,0.0630224
RF02958#KE159748.1/73297-73184#subopt0,   6.23967,   1.10749,-0.0938559,-0.0522556,  0.418123, -0.620749,  0.938508,  0.876732, -0.651845,  0.606758,  0.650561
RF02958#KE159748.1/73297-73184#subopt1,   6.25266,   1.24582,-0.0756644,-0.0493181,  0.804607, -0.354433,   1.01864,   1.02132,  -1.02051,  0.370525,  0.332938
RF02958#KE159748.1/73297-73184#subopt2,  6.09169,  1.05289, 0.304681, 0.804787, 0.584784,-0.318252,  1.07281, 0.621991,-0.989798, 0.826046,0.0630224
RF02958#URS0000D6C13D_12908/1-114#subopt0,   6.07473,   1.34605,-0.0821549, -0.249661,  0.179666, -0.910423,   1.27135,  0.557676,  -1.01652,  0.510461,  0.171591
RF02958#URS0000D6C13D_12908/1-114#subopt1,  6.00993,  1.11668,-0.265049,-0.637488,-0.566298,-0.690674,  1.14249,0.0636528,-0.412934,  1.40369, 0.155768
RF02958#URS0000D6C13D_12908/1-114#subopt2,   6.10536,   1.28583,  -0.30444, -0.622806,-0.0791573, -0.377567,   1.28923,  0.340295, -0.836032,   1.00957, -0.200288
RF02958#URS0000D65C6D_658081/1-114#subopt0,  7.26562,-0.206663, 0.980952,-0.240974, 0.485102, 0.231853, 0.264797, 0.824396,-0.169224,-0.554482,-0.162859
RF02958#URS0000D65C6D_658081/1-114#subopt1,   7.17091,  0.255619,  0.510336,  0.678059,  0.563249,  0.281045,-0.0631741,  0.208014, -0.110195, -0.643125, -0.284732
RF02958#URS0000D65C6D_658081/1-114#subopt2,   7.11931,  0.237374,  0.300582,  0.374848,  0.654617,  0.656265,  0.112006, -0.591316,-0.0112923,-0.0209845, -0.168785
RF03130#CP019331.1/208098-208069#subopt0,  2.68341,  0.24065,  0.38603,-0.690041, -2.57821,-0.569962, 0.204944, 0.662145, 0.313993, 0.515805, 0.270293
RF03130#CP019331.1/208098-208069#subopt1,   3.40574, -0.388962,   1.21203, -0.958831,  -2.46212, -0.837439, 0.0910014, 0.0921874,-0.0551902,  0.168298,  0.510841
RF03130#CP019331.1/208098-208069#subopt2,    3.3594, 0.0137293,  0.063835,  0.627461,  -2.69316, -0.089374,-0.0728645,-0.0134848,  0.127442,-0.0541061,-0.0575233
RF03130#LT629752.1/2327677-2327706#subopt0,  2.68341,  0.24065,  0.38603,-0.690041, -2.57821,-0.569962, 0.204944, 0.662145, 0.313993, 0.515805, 0.270293
RF03130#LT629752.1/2327677-2327706#subopt1,   3.40574, -0.388962,   1.21203, -0.958831,  -2.46212, -0.837439, 0.0910014, 0.0921874,-0.0551902,  0.168298,  0.510841
RF03130#LT629752.1/2327677-2327706#subopt2,    3.3594, 0.0137293,  0.063835,  0.627461,  -2.69316, -0.089374,-0.0728645,-0.0134848,  0.127442,-0.0541061,-0.0575233
RF03130#LT670850.1/2437797-2437768#subopt0,  2.68341,  0.24065,  0.38603,-0.690041, -2.57821,-0.569962, 0.204944, 0.662145, 0.313993, 0.515805, 0.270293
RF03130#LT670850.1/2437797-2437768#subopt1,   3.40574, -0.388962,   1.21203, -0.958831,  -2.46212, -0.837439, 0.0910014, 0.0921874,-0.0551902,  0.168298,  0.510841
RF03130#LT670850.1/2437797-2437768#subopt2,    3.3594, 0.0137293,  0.063835,  0.627461,  -2.69316, -0.089374,-0.0728645,-0.0134848,  0.127442,-0.0541061,-0.0575233
RF03130#URS0001A23FB0_12908/1-30#subopt0,  2.68341,  0.24065,  0.38603,-0.690041, -2.57821,-0.569962, 0.204944, 0.662145, 0.313993, 0.515805, 0.270293
RF03130#URS0001A23FB0_12908/1-30#subopt1,   3.40574, -0.388962,   1.21203, -0.958831,  -2.46212, -0.837439, 0.0910014, 0.0921874,-0.0551902,  0.168298,  0.510841
RF03130#URS0001A23FB0_12908/1-30#subopt2,    3.3594, 0.0137293,  0.063835,  0.627461,  -2.69316, -0.089374,-0.0728645,-0.0134848,  0.127442,-0.0541061,-0.0575233
RF03130#LT629794.1/2413989-2414018#subopt0,  4.07063,-0.683434,  1.26921, 0.317584,  -1.5055,-0.471391,-0.847773,-0.639587,-0.447569,-0.019541, 0.889866
RF03130#LT629794.1/2413989-2414018#subopt1,  2.68341,  0.24065,  0.38603,-0.690041, -2.57821,-0.569962, 0.204944, 0.662145, 0.313993, 0.515805, 0.270293
RF03130#LT629794.1/2413989-2414018#subopt2,  3.41079,-0.439093,  1.45148,-0.819004, -1.51437,0.0518281,-0.116672,0.0934948, -0.15822, 0.391522, 0.620867
RF03142#URS0001A246D4_12908/1-69#subopt0,   3.7523, -1.11274,  1.58361, -1.01339, -1.33457,-0.984855, 0.443419,0.0412045,0.0508524,-0.593295, 0.773276
RF03142#FXYF01000010.1/45420-45352#subopt0,   3.70483,  -1.05753,   1.65082,  -1.04664,  -1.25916,  -0.86786, 0.0775442,-0.0858376,-0.0334173, -0.352388,  0.931827
RF03142#FXYF01000010.1/45420-45352#subopt1,  3.78303, -1.02372,  1.45776, -1.32948, -1.44444,-0.415315, 0.589586,-0.182735, -0.17134,  -0.1201,  0.21788
RF03142#FXYF01000010.1/45420-45352#subopt2,   3.7431, -1.06167,  1.48663, -1.31271,-0.947521,-0.366806, 0.520808,-0.540221,-0.240856,-0.055395, 0.600487
RF03142#URS0001A234C0_12908/1-69#subopt0,   3.70483,  -1.05753,   1.65082,  -1.04664,  -1.25916,  -0.86786, 0.0775442,-0.0858376,-0.0334173, -0.352388,  0.931827
RF03142#URS0001A24051_12908/1-65#subopt0,    3.8646,  -1.16899,   1.67612,  -1.05924, -0.524361, -0.413682, -0.104027,-0.0364616,  0.143162,  -0.30296,   1.30667
RF03142#URS0001A24051_12908/1-65#subopt1,  4.30282, -1.32953,  1.60939,-0.133854,-0.563789,-0.380114,-0.597951, -0.76181,-0.250931,-0.724933,  1.73071
RF03142#URS0001A24051_12908/1-65#subopt2,    4.4142,  -1.39278,   1.68434,-0.0810358, -0.524945, -0.263912, -0.687454, -0.887583, 0.0809171, -0.900629,   1.11934
RF03142#URS0001A2362F_12908/1-76#subopt0,    5.59571,    0.37287,   0.812574,   0.254373,   0.147304,  -0.355926,   0.317588,-0.00506105,  0.0405277,   0.516649,  -0.334345
RF03142#URS0001A2362F_12908/1-76#subopt1,   6.08884, -0.113135,  0.377527,  0.944324,-0.0431339,-0.0601068,    0.2116, -0.459857,   -0.2679,-0.0978472, -0.192316
RF03142#URS0001A2362F_12908/1-76#subopt2,    4.4073,  -1.40848,   1.76245,  -1.27234, -0.650001,-0.0485316,  0.350274,   0.27073, -0.574917,  0.352322,  0.424864
RF02957#URS0000D6BF88_755863/1-129#subopt0,  6.82997, 0.245171, -3.02344,-0.193179,-0.298528,-0.378951,-0.141105, -1.04302,  2.67056,   1.5355, -1.14897
RF02957#URS0000D6BF88_755863/1-129#subopt1,  7.14325,0.0970833,  -3.1889, 0.188369,-0.273313,-0.393218,-0.124064, -1.30157,  2.81815,  1.53101, -1.41704
RF02957#URS0000D6BF88_755863/1-129#subopt2,   5.96235,   1.15915,  -3.78086, 0.0288861,-0.0733369, -0.124021, -0.820365,  -0.94515,   1.76454,   1.41497, 0.0292418
RF02957#URS0000D6BF88_360102/1-129#subopt0,  6.82997, 0.245171, -3.02344,-0.193179,-0.298528,-0.378951,-0.141105, -1.04302,  2.67056,   1.5355, -1.14897
RF02957#URS0000D6BF88_360102/1-129#subopt1,  7.14325,0.0970833,  -3.1889, 0.188369,-0.273313,-0.393218,-0.124064, -1.30157,  2.81815,  1.53101, -1.41704
