 ,snm_1,snm_2,snm_3,snm_4,snm_5,snm_6,snm_7,snm_8,snm_9,snm_10,snm_11,snm_12,snm_13
RF03158#MKKY01000090.1/22688-22643#subopt0,   3.28963,-0.0329354,-0.0819729,  0.355437,   2.16805, -0.345059, -0.132123,  0.646325,  0.174263, -0.313457, -0.847536, -0.312075, -0.345384
RF03158#MKKY01000090.1/22688-22643#subopt1,   3.75591, -0.235885, 0.0422063,   1.43583,   2.31919, -0.910646, -0.878779,   -0.1811,  0.499138, -0.325084,  0.265937, -0.729087,-0.0768329
RF03158#MKKY01000090.1/22688-22643#subopt2,  3.87992,-0.220554,0.0412973,  1.36659,  2.13299,-0.520515,-0.838531,-0.506658, 0.598526,-0.848352,0.0666958,-0.185946, 0.340424
RF03156#URS0001A2333F_12908/1-30#subopt0,   1.38751,  0.863962, 0.0664346, -0.337461,  0.964702, 0.0846565, -0.182411,  0.300796, 0.0289527,-0.0112574,  0.482911,  0.115163, -0.709088
RF03156#URS0001A24418_12908/1-33#subopt0,   1.36534,   1.00866, -0.053812, -0.314827,   0.61726, 0.0565944,  -0.24099, -0.332049,-0.0237684,  0.407802,  0.526574,  0.208975,  0.047514
RF03156#URS0001A24A61_12908/1-30#subopt0,   1.38751,  0.863963, 0.0664346, -0.337461,  0.964702, 0.0846565, -0.182411,  0.300796, 0.0289525,-0.0112575,  0.482911,  0.115163, -0.709088
RF03156#URS0001A24750_12908/1-31#subopt0,    1.41102,   0.925441,  0.0686858,  -0.293623,   0.634392,  -0.044982,   0.119282,  -0.134451, -0.0978623,    0.12656,   0.561072,-0.00700576,  -0.227817
RF03106#URS0000D69489_12908/1-147#subopt0,   7.59189,   0.15922,   -1.1832,  -2.34981,   -1.6921,  0.841347,  0.725223,-0.0725527,  0.589458,   0.40569,  -1.38617,  0.513717, 0.0278926
RF03106#URS0000D69489_12908/1-147#subopt1,   8.3387,-0.348406,  -1.0292,-0.874777, -1.46832, 0.860041, 0.666726,-0.689749,  0.56901, 0.101542,-0.985917, 0.426693, 0.261414
RF03106#URS0000D69489_12908/1-147#subopt2,   8.27613,  0.202062, -0.579956,  0.248969,  -1.08917,   1.09935,  0.913818,  -1.21089,  -0.27145, -0.182867,  0.472723, -0.401218,-0.0996105
RF03106#URS0000D69489_12908/1-147#subopt3,  8.20042, 0.397698, 0.153834, 0.725619, -1.10789,  1.06239,  1.32872, -1.19554,-0.752564,-0.593026,0.0214001, 0.541795, 0.113732
RF03106#URS0000D673CA_12908/1-145#subopt0,  7.63215,-0.911625, -1.51862, -1.05852,-0.423709, -0.15553, 0.613136,-0.780838,-0.222688, -0.29499,  0.27609, 0.142892,-0.725001
RF03106#URS0000D673CA_12908/1-145#subopt1,    8.16747,   -1.20996,   -1.35316,-0.00046558,   -0.27445,  -0.340959,   0.582383,   -1.37123,  -0.247087, -0.0858878,   0.453463,  -0.425736,  -0.265557
RF03106#URS0000D673CA_12908/1-145#subopt2,   6.94688,  0.210703,  -1.19866, -0.889701, -0.057937,  0.111609,  0.290504,0.00666679,  -1.55429, -0.078228,  -0.24455,  0.209675, -0.555801
RF03106#URS0000D673CA_12908/1-145#subopt3,   7.01451,  0.027174, -0.972649, -0.935655, -0.443863,-0.0878456,   0.67299,  -0.36507, -0.436524,-0.0263598, -0.383396, 0.0146085, -0.729835
RF03106#URS0000D6A2A3_12908/1-133#subopt0,   7.64069,  -1.18653,   1.14166, -0.443664,   0.72111,  0.528946, -0.111853,  -1.05926, 0.0985298, -0.753965,  0.577518,-0.0718119, -0.698084
RF03106#URS0000D6A2A3_12908/1-133#subopt1,   8.04195,  -1.36049,    1.1438,  0.425972,   1.14767,   0.53522,  -1.03153, -0.540182, -0.062075, -0.576016, -0.241641,-0.0824512, -0.666461
RF03106#URS0000D6A2A3_12908/1-133#subopt2,  7.74376, -1.22589,   1.1489,-0.309701, 0.758373, 0.525424,-0.628432,-0.576118, 0.333516,-0.466868, 0.184101,-0.144604,-0.482157
RF03106#URS0000D6A2A3_12908/1-133#subopt3,  7.46975,-0.766912,  1.71128, 0.205806, 0.375816, 0.246575,-0.842622,-0.905905, 0.394902,-0.423282, 0.478223, 0.151581,-0.509207
RF03157#URS0001A23AA2_1121878/1-50#subopt0,  4.38839,  1.67067,-0.332369, 0.639411, 0.847454,  -1.0818, 0.530837, -1.41891, 0.737936, 0.920967, 0.121507, -1.23847,  0.93518
RF03157#URS0001A23AA2_1121878/1-50#subopt1,  4.94053,  1.44266,0.0315561,  1.35865, 0.712636, -1.12634, 0.776002, -1.30448,  1.24376,  1.04294, 0.394567,-0.995251, 0.991794
RF03157#URS0001A23AA2_1121878/1-50#subopt2,  4.38866,  1.58507,-0.606824, 0.285543, 0.793884,-0.974202,   0.3675, -1.25676, 0.762415, 0.921314,-0.159553, -1.05334, 0.930894
RF03157#URS0001A23AA2_1121878/1-50#subopt3,    4.93506,      1.366,0.000267683,    1.46458,   0.935742,   -0.87289,   0.588498,   -1.25311,    1.16364,   0.802265,   0.425757,   -1.26241,    1.19631
RF03157#URS0001A23AA2_1121879/1-50#subopt0,  4.38839,  1.67067,-0.332369, 0.639411, 0.847454,  -1.0818, 0.530837, -1.41891, 0.737936, 0.920967, 0.121507, -1.23847,  0.93518
RF03157#URS0001A23AA2_1121879/1-50#subopt1,  4.94053,  1.44266,0.0315565,  1.35865, 0.712636, -1.12634, 0.776002, -1.30448,  1.24376,  1.04294, 0.394566,-0.995251, 0.991794
RF03157#URS0001A23AA2_1121879/1-50#subopt2,  4.38866,  1.58507,-0.606824, 0.285542, 0.793884,-0.974202,   0.3675, -1.25676, 0.762415, 0.921314,-0.159553, -1.05334, 0.930894
RF03157#URS0001A23AA2_1121879/1-50#subopt3,    4.93506,      1.366,0.000268097,    1.46458,   0.935741,   -0.87289,   0.588498,   -1.25311,    1.16364,   0.802265,   0.425757,   -1.26241,    1.19631
RF03157#URS0001A2345C_675816/1-50#subopt0,   4.44269,    1.7512,  -0.96857,  0.569501,  0.817279, -0.901549,-0.0828337, -0.457549, -0.305512,-0.0813735,-0.0521561, 0.0526679,   1.60123
RF03157#URS0001A2345C_675816/1-50#subopt1,   4.43092,   1.59088, -0.839575,  0.483796,  0.820531, -0.870643,-0.0112245, -0.839199,  0.641703,-0.0767105, -0.455368, -0.254903,   1.37452
RF03157#URS0001A2345C_675816/1-50#subopt2,  4.39359,  1.82695,-0.460758, 0.699686, 0.836891, -1.08184, 0.472301, -1.04619,-0.204859, 0.863587, 0.491888, -0.94923,  1.12052
RF03157#URS0001A2345C_675816/1-50#subopt3,  4.38839,  1.67067,-0.332369, 0.639411, 0.847454,  -1.0818, 0.530837, -1.41891, 0.737936, 0.920967, 0.121507, -1.23847,  0.93518
RF03157#CP002209.1/3979465-3979416#subopt0,   4.44269,    1.7512,  -0.96857,  0.569501,  0.817279, -0.901549, -0.082834, -0.457548, -0.305512,-0.0813734, -0.052156, 0.0526679,   1.60123
RF03157#CP002209.1/3979465-3979416#subopt1,   4.43092,   1.59088, -0.839575,  0.483796,  0.820532, -0.870643,-0.0112247,   -0.8392,  0.641703,-0.0767104, -0.455368, -0.254903,   1.37452
RF03157#CP002209.1/3979465-3979416#subopt2,  4.39359,  1.82695,-0.460758, 0.699686, 0.836891, -1.08184, 0.472301, -1.04619, -0.20486, 0.863587, 0.491888, -0.94923,  1.12052
RF03157#CP002209.1/3979465-3979416#subopt3,  4.38839,  1.67067,-0.332369, 0.639411, 0.847454,  -1.0818, 0.530837, -1.41891, 0.737936, 0.920967, 0.121507, -1.23847,  0.93518
RF01704#CP006269.1/1896519-1896580#subopt0,  4.84072,  1.25679,  -1.5818, 0.551611,-0.167496,-0.747024, 0.117587, 0.334435,-0.969467,0.0648943, 0.133891, 0.397381, -1.07314
RF01704#CP006269.1/1896519-1896580#subopt1,  4.27468,  1.87291, -0.67732, 0.981743,0.0444059,-0.277395, 0.115957, 0.501389,  -1.1753,0.0774548, -0.37774, 0.669343, -1.25577
RF01704#CP006269.1/1896519-1896580#subopt2,   4.93552,    1.3067,  -1.49624,  0.829035,-0.0405482, -0.732151,  0.036878,  0.122637, -0.941706,  0.193562,  0.144303,  0.467697,  -1.28406
RF01704#CP006269.1/1896519-1896580#subopt3,  5.38163, 0.952993, -1.44514,  1.82696, 0.069033,-0.994069,-0.589839,-0.509853,-0.576035, 0.369815, 0.728301,0.0549161,-0.976795
RF01704#AE017126.1/924002-923944#subopt0,   4.38563,   1.62079, -0.513641,  0.635047,-0.0743164, -0.128406,  0.496269,  0.964972, -0.157609, -0.442666, -0.622011,  0.680561,-0.0624421
RF01704#AE017126.1/924002-923944#subopt1,   3.41334,   2.00277,  0.325657,  0.870326,  0.144962, -0.360084,  0.377887,  0.538067,-0.0300521, -0.515772,  0.307582,   1.01082,  0.533927
RF01704#AE017126.1/924002-923944#subopt2,   5.06039,  0.954298,  -1.17412,  0.574694, 0.0992023,  -0.99499,   0.79926,  0.315339, 0.0431426, -0.726164,  0.465659,  0.649963,-0.0807162
RF01704#AE017126.1/924002-923944#subopt3,   4.0967,  1.98196, 0.949051, 0.713506, 0.272297,-0.260909,-0.210812, 0.636796,-0.248369, -0.94276, 0.551235,  1.18366,  0.19425
RF01704#AANO01000053.1/1174-1115#subopt0,    4.13817,    1.34098,  -0.791191,   0.683475,    1.04147,  -0.406845,   0.587919,   0.432989,   -0.50887, -0.0553685,   0.370639,-0.00253906,  -0.691361
RF01704#AANO01000053.1/1174-1115#subopt1,  4.06966,  1.40006,-0.537784,  1.13539, 0.770392, -0.68973, 0.586413, 0.242221,-0.436377,-0.373721, 0.559955,-0.199576,-0.939792
RF01704#AANO01000053.1/1174-1115#subopt2,  3.75658,  1.75136, 0.579432,  2.01457,  0.31518,-0.592514,-0.318449, 0.207162,-0.414282, 0.765855, 0.177117, 0.309548,  -1.1318
RF01704#AANO01000053.1/1174-1115#subopt3,  3.45104,  1.96101, -1.02201,-0.508643, 0.202621,-0.494966,  0.64062, 0.756405,-0.663625, -0.54354,-0.200438, 0.131414,-0.898836
RF01704#DS990556.1/1717245-1717309#subopt0,  4.92581, 0.691237, -1.15794, 0.743284, 0.497206,-0.660072,-0.430956, 0.211678,  1.33124, -0.32405,-0.146472, -1.05499, 0.386792
RF01704#DS990556.1/1717245-1717309#subopt1,   4.93978,  0.377368,  -1.08721,  0.386016,  0.900863,  -0.60325,  0.518977,  0.559834,   1.01217, -0.852489, -0.257978,-0.0258274,  0.560939
RF01704#DS990556.1/1717245-1717309#subopt2,   4.3069,    1.223, -1.50726,-0.754652, 0.124918,-0.962537,  0.18874, 0.430398,  0.81208, -1.23337,-0.236966, 0.216308, 0.584218
RF01704#DS990556.1/1717245-1717309#subopt3,   5.02156,  0.867038,  -1.21887,   0.58073,  0.796753, -0.377562,  0.738499,   0.46992,  0.823951,  -1.35262, -0.518568,-0.0996186,  0.727903
RF03144#URS0001A2426A_12908/1-47#subopt0,  3.75417,  1.75581,-0.934034,-0.678132,-0.532853, 0.536399, 0.837416,0.0538801,0.0481317,  -0.3524, 0.822698, 0.809057,  0.19778
RF03144#URS0001A2426A_12908/1-47#subopt1,  4.41673,  1.16722, -0.34707, 0.235871, 0.303232,  1.25006,  1.92909,-0.483822, 0.409435, -0.46895, 0.193256,  1.02288,-0.063796
RF03144#URS0001A2426A_12908/1-47#subopt2,  4.44695,  1.34131,-0.559894,  0.49354, 0.105033,  1.07826,  1.62209,  0.19519,-0.101013,-0.426038, 0.585788, 0.936842, 0.134711
RF03144#URS0001A2426A_12908/1-47#subopt3,  5.09399, 0.533792, -1.13281, 0.118875, 0.112285, 0.756233,  1.84971,-0.741642, 0.656574, -0.31951,  0.77016, 0.778382,-0.081243
RF03144#URS0001A24651_12908/1-47#subopt0,   4.46442,   1.00541,  -1.63805, -0.795077,  -1.17226,   1.06889,  0.428603, -0.692872,    0.2919,-0.0416116,  -0.99401,  0.893017, 0.0875176
RF03144#URS0001A24651_12908/1-47#subopt1,  4.56504, 0.840717,  -1.4205,-0.951704,-0.670186, 0.891083,  0.62931, 0.177071, 0.910502,-0.483927,-0.880118,  0.99756, 0.485815
RF03144#URS0001A24651_12908/1-47#subopt2,   4.41651,   1.23078,  -1.97809,  -0.41717,  -1.35246,  0.810849,-0.0937693,  0.151876, -0.174769,-0.0678232, -0.581655,  0.770812,  0.288253
RF03144#URS0001A24651_12908/1-47#subopt3,  4.51713,   1.0661, -1.76053,-0.573796,-0.850395, 0.633043, 0.106938,  1.02182, 0.443832,-0.510137,-0.467767, 0.875356, 0.686551
RF03144#HF582854.1/780497-780546#subopt0,      4.27,   1.56645, -0.703779,  0.110128,  0.596542,  -1.18423, -0.261576,  0.364106,-0.0887464, -0.653967,  0.192402,  0.777222,-0.0346791
RF03144#HF582854.1/780497-780546#subopt1,  4.29698, 0.802678,-0.232441, 0.320506, 0.268104, 0.425149,  1.55631,-0.566354,  1.22488, 0.243725, 0.240929, 0.465749,-0.588432
RF03144#HF582854.1/780497-780546#subopt2,  4.75103,  0.62739,-0.213536,  1.04583, 0.149448,-0.176241,  1.02007, -1.30242,  1.60193, 0.522881, 0.827625, 0.347237,-0.529826
RF03144#HF582854.1/780497-780546#subopt3,   3.66726,   1.54194, -0.532835, -0.927649,  -0.35716,   0.38411,    1.4836, -0.093928,    1.1112,-0.0749946, -0.175453,  0.907001,  -0.54929
RF03144#URS0001A23AD8_268739/1-50#subopt0,      4.27,   1.56645, -0.703779,  0.110128,  0.596543,  -1.18423, -0.261577,  0.364106,-0.0887464, -0.653967,  0.192402,  0.777222,-0.0346792
RF03144#URS0001A23AD8_268739/1-50#subopt1,  4.29698, 0.802678,-0.232441, 0.320506, 0.268104, 0.425149,  1.55631,-0.566354,  1.22488, 0.243725, 0.240929, 0.465749,-0.588432
RF03144#URS0001A23AD8_268739/1-50#subopt2,  4.75103,  0.62739,-0.213536,  1.04583, 0.149448,-0.176242,  1.02007, -1.30242,  1.60193, 0.522881, 0.827625, 0.347237,-0.529826
RF03144#URS0001A23AD8_268739/1-50#subopt3,   3.66726,   1.54194, -0.532835, -0.927648,  -0.35716,  0.384109,    1.4836, -0.093928,    1.1112,-0.0749944, -0.175453,  0.907001,  -0.54929
RF02929#URS0000D6D1C3_926032/1-50#subopt0,   3.33049,   2.05014,  -1.21958, -0.473058,  -0.28822,  -1.32201,-0.0286258, -0.268243, -0.591352,  0.242518,  0.674219, -0.625182,-0.0780546
RF02929#URS0000D6D1C3_926032/1-50#subopt1,  2.49531,  2.74447,-0.260984,0.0354935,-0.238546,-0.654345, 0.227247, 0.132708,-0.883466,  0.74708, 0.261329, 0.268542, 0.310216
RF02929#URS0000D6D1C3_926032/1-50#subopt2,  3.43315,  2.32122, -1.31118,-0.337662,-0.332796, -1.31682,0.0105794,-0.196761,-0.743111,  0.63827, 0.431933,-0.669104,-0.210763
RF02929#URS0000D6D1C3_926032/1-50#subopt3,   2.57335,   2.50744,-0.0116112, -0.317406, -0.140172, -0.351175,  0.666945, -0.421513, -0.646932,  0.754693, 0.0569402,  0.208091,  0.359784
RF02929#URS0000D6D1C3_926028/1-50#subopt0,   3.33049,   2.05014,  -1.21958, -0.473058,  -0.28822,  -1.32201,-0.0286256, -0.268244, -0.591352,  0.242518,  0.674219, -0.625183,-0.0780547
RF02929#URS0000D6D1C3_926028/1-50#subopt1,  2.49531,  2.74447,-0.260984,0.0354932,-0.238546,-0.654345, 0.227247, 0.132708,-0.883466,  0.74708, 0.261329, 0.268542, 0.310216
RF02929#URS0000D6D1C3_926028/1-50#subopt2,  3.43315,  2.32122, -1.31118,-0.337662,-0.332796, -1.31682,0.0105791,-0.196761,-0.743111,  0.63827, 0.431933,-0.669104,-0.210763
RF02929#URS0000D6D1C3_926028/1-50#subopt3,   2.57335,   2.50744,-0.0116112, -0.317406, -0.140172, -0.351175,  0.666945, -0.421513, -0.646932,  0.754693, 0.0569401,  0.208091,  0.359784
RF02929#URS0000D6D1C3_926027/1-50#subopt0,   3.33049,   2.05014,  -1.21958, -0.473058,  -0.28822,  -1.32201,-0.0286258, -0.268243, -0.591352,  0.242518,  0.674219, -0.625183,-0.0780545
RF02929#URS0000D6D1C3_926027/1-50#subopt1,  2.49531,  2.74447,-0.260984,0.0354934,-0.238546,-0.654345, 0.227247, 0.132708,-0.883466,  0.74708, 0.261329, 0.268542, 0.310216
RF02929#URS0000D6D1C3_926027/1-50#subopt2,  3.43315,  2.32122, -1.31118,-0.337662,-0.332796, -1.31682,0.0105795,-0.196761,-0.743111,  0.63827, 0.431933,-0.669104,-0.210762
RF02929#URS0000D6D1C3_926027/1-50#subopt3,   2.57335,   2.50744,-0.0116111, -0.317406, -0.140172, -0.351175,  0.666945, -0.421513, -0.646932,  0.754693, 0.0569401,  0.208091,  0.359784
RF02929#URS0000D6D1C3_926026/1-50#subopt0,   3.33049,   2.05014,  -1.21958, -0.473058,  -0.28822,  -1.32201,-0.0286258, -0.268243, -0.591352,  0.242518,  0.674219, -0.625183,-0.0780545
RF02929#URS0000D6D1C3_926026/1-50#subopt1,  2.49531,  2.74447,-0.260984,0.0354935,-0.238546,-0.654345, 0.227247, 0.132708,-0.883466,  0.74708, 0.261329, 0.268542, 0.310216
RF02929#URS0000D6D1C3_926026/1-50#subopt2,  3.43315,  2.32122, -1.31118,-0.337662,-0.332796, -1.31682,0.0105793,-0.196761,-0.743111,  0.63827, 0.431933,-0.669104,-0.210762
RF02929#URS0000D6D1C3_926026/1-50#subopt3,   2.57335,   2.50744,-0.0116112, -0.317406, -0.140172, -0.351175,  0.666945, -0.421513, -0.646932,  0.754693, 0.0569402,  0.208091,  0.359784
RF03072#MRAE01000003.1/20582-20790#subopt0,   8.91554,  -2.56506,  -1.30547,  -1.77018,   -0.8533,   1.28897,-0.0593267, -0.866663, -0.386514, -0.560608,  0.256073,   1.32926, -0.526798
RF03072#MRAE01000003.1/20582-20790#subopt1,   9.26984,  -3.64725,   -2.2845, -0.321408,  0.240304,  0.187529, -0.514145, -0.957524, 0.0984904, -0.338067,  0.367816,  0.887108,-0.0561773
RF03072#MRAE01000003.1/20582-20790#subopt2,    8.34092,   -2.57046,   -2.24003,    -3.0962,   -0.70284,    1.03492,  0.0672361,  -0.282403,-0.00894781,  -0.398853,  0.0622496,    1.57568,  -0.156263
RF03072#MRAE01000003.1/20582-20790#subopt3,   8.57036,  -2.77577,   -2.4668,  -3.09575, -0.638984,  0.609552,-0.0402959, -0.500729,  0.221648, -0.269076,  0.457253,   1.27871, -0.339956
RF03072#HF952018.1/169277-169485#subopt0,   9.21387,  -1.44749,-0.0164542,   1.01982, -0.536336, -0.603044,  -2.35389,  -1.26662, -0.392754,  0.176391,   1.23923,  -1.05237,  0.650148
RF03072#HF952018.1/169277-169485#subopt1,  8.88959, -1.22779,-0.196284, 0.393864,-0.315881,-0.793452, -2.41696, -1.48825,-0.424108, 0.264626,    1.343, -1.01076, 0.720916
RF03072#HF952018.1/169277-169485#subopt2,  9.13874,  -1.4381,-0.625376, 0.379986,-0.192501, -1.12329, -2.57255, -1.52761,-0.479968, 0.220073,  1.13637, -1.13117, 0.363627
RF03072#HF952018.1/169277-169485#subopt3,  9.17643, -1.59664,0.0890414,  1.02687, -0.86719,-0.635647, -1.94331, -1.63192, 0.503422, 0.207211,  1.19587, -1.17022, 0.687068
RF03072#URS0000D69D6C_12908/1-203#subopt0,  9.35068, -2.95513, -1.95747,0.0610864, 0.731983, 0.416192,-0.227179,  0.14746,  -1.1097,-0.388548,-0.212974,  1.06574,    1.148
RF03072#URS0000D69D6C_12908/1-203#subopt1,  9.34251, -2.92172, -1.98152,0.0554148, 0.765197, 0.519735,-0.190056, 0.114144, -1.20033,-0.436204,-0.292258, 0.983325,  1.15504
RF03072#URS0000D69D6C_12908/1-203#subopt2,  8.75692, -2.57556, -1.49766,  -1.9582, 0.683074,  1.43843,  -1.0472, -0.59681,-0.298442, 0.264743,-0.437335,  1.18559,  1.31722
RF03072#URS0000D69D6C_12908/1-203#subopt3,  8.76875, -2.67831, -1.20392, -1.98979, 0.689779, 0.953914,-0.499731,-0.590389,0.0972522, 0.171515,-0.343257,  1.14731,   1.3653
RF03072#URS0000D672C5_573061/1-205#subopt0,   8.79661,  -1.90935,  -1.60221,-0.0212151,  -0.10425, -0.961659,  -2.86904, -0.518648,  -1.07409,  0.675408,   1.16913,  0.421122,  0.925166
RF03072#URS0000D672C5_573061/1-205#subopt1,   9.04027,  -2.11534,  -2.01466,-0.0193787,   0.02255,  -1.32757,   -3.0293, -0.578271,  -1.09716,  0.645155,  0.996222,  0.266915,   0.54806
RF03072#URS0000D672C5_573061/1-205#subopt2,  8.66858, -2.08032, -2.22989,  0.10051, 0.206034,-0.943798, -2.71113,-0.558764, -1.32577, 0.399028,  1.22355, 0.661716,  1.17572
RF03072#URS0000D672C5_573061/1-205#subopt3,  8.85513, -2.27439, -2.78005, 0.224834, 0.390367, -1.35462, -2.80718,-0.634344, -1.37759, 0.348939, 0.957751, 0.530021, 0.735393
RF02987#URS0000D6C3CB_12908/1-87#subopt0,   5.31969,  0.213798,  -1.85548,   0.20677,   -0.3696,  -1.32282,  0.256341,0.00962078,  0.977719,  -1.82224,   1.56278,  0.184538, -0.347347
RF02987#URS0000D6C3CB_12908/1-87#subopt1,  5.30233, 0.129143,  -1.6589,0.0684354,-0.519261, -1.30725, 0.253947,-0.529335,  2.18019,  -1.5365,  1.22007,0.0638021,-0.250927
RF02987#URS0000D6C3CB_12908/1-87#subopt2,   5.30447,  0.176253,  -1.87993,  0.375532,  -1.29383, -0.592305,-0.0747205, -0.737872,   1.98375,  -1.12936,   1.14006,  0.105693,  -0.74289
RF02987#URS0000D6BE2C_12908/1-87#subopt0,   5.31969,  0.213798,  -1.85548,   0.20677,   -0.3696,  -1.32282,  0.256341,0.00962075,  0.977719,  -1.82224,   1.56278,  0.184537, -0.347347
RF02987#URS0000D6BE2C_12908/1-87#subopt1,  5.30233, 0.129143,  -1.6589,0.0684354,-0.519261, -1.30725, 0.253948,-0.529335,  2.18019,  -1.5365,  1.22007,0.0638021,-0.250927
RF02987#URS0000D6BE2C_12908/1-87#subopt2,   5.32183,  0.260907,   -2.0765,  0.513865,  -1.14417, -0.607883,-0.0723255, -0.198917,  0.781288,   -1.4151,   1.48276,  0.226427,  -0.83931
RF02987#URS0000D6BE2C_12908/1-87#subopt3,   5.30447,  0.176253,  -1.87993,  0.375532,  -1.29383, -0.592305,-0.0747204, -0.737872,   1.98375,  -1.12936,   1.14006,  0.105693, -0.742889
RF02987#URS0000D68C86_12908/1-89#subopt0,   5.58338, -0.439132,  -2.01872,-0.0577213, -0.304802,   -1.3755,  0.123431, -0.619086,   1.91307,  -1.71791,   1.49963,-0.0556147,   -0.4521
RF02987#URS0000D68C86_12908/1-89#subopt1,     5.51116,    0.345805,     -1.8189,-0.000936553,  -0.0903759,   -0.666535,     1.06407,     0.31596,     1.40026,    -1.77078,    0.845356,    0.590365,   -0.045477
RF02987#URS0000D68C86_12908/1-89#subopt2,   5.90211,  0.186902,  -2.42354, 0.0372551,-0.0887658,  -1.03645,   0.62949,  0.274412,  0.699817,  -1.30878,   1.52371,  0.701971,   0.13549
RF02987#URS0000D68C86_12908/1-89#subopt3,    5.92323,0.000357121,   -2.23798, -0.0425179,   -0.11019,   -1.05262,    1.04014,  0.0965724,    1.64001,   -1.64136,    1.22757,   0.324327,  -0.127272
RF02987#URS0000D68F88_12908/1-87#subopt0,   5.77399, -0.789445,  -1.57748,  -1.61032, -0.213651, -0.578072,  -0.80755,-0.0265108,  0.378034, -0.768275,  0.878906,  0.401168, -0.509471
RF02987#URS0000D68F88_12908/1-87#subopt1,  5.71105,-0.747638, -1.38008, -1.80862, 0.379557, -1.15989, -0.42619,0.0613858, 0.457265, -1.17686,  0.95713, 0.346478,-0.153783
RF02987#URS0000D68F88_12908/1-87#subopt2,   5.71291,-0.0292334,  -2.82578,  -1.28392, -0.539937,   -1.4644,  0.387031, 0.0156422,   1.42562, -0.940769,   1.31169,  0.342212, -0.273269
RF02987#URS0000D68F88_12908/1-87#subopt3,   6.33055, -0.215134,   -1.9539,  0.147172,-0.0443177, -0.689273,   1.34326,  -0.50032,   1.59768,  -1.09025,   1.23805,  0.890507,  0.240423
RF03169#URS0000D69050_12908/1-85#subopt0,  5.46956, 0.846314,-0.828716, 0.614228,0.0986628, 0.205894, 0.418296, 0.739628, 0.139994, 0.760752,-0.720974, 0.140668, 0.716555
RF03169#URS0000D69050_12908/1-85#subopt1,   4.93287,   1.55923,  0.161368,    0.3492,  0.305082, -0.829769, -0.414951,   1.03108,-0.0797592,   -1.2551,-0.0646281,  0.359879,  0.102783
RF03169#URS0000D69050_12908/1-85#subopt2,   6.16325,  0.303937,  -1.08386,  0.102099, 0.0515544,  -1.61168, 0.0741643,  0.970611,-0.0236839,  -1.33305, -0.193574,  0.493198, -0.554657
RF03169#URS0000D69050_12908/1-85#subopt3,   5.3489,  1.34096, 0.153155,  1.10684, 0.520153, -1.14212,-0.357692, 0.931894,-0.487517, -1.82069,-0.336739,  0.57727,-0.232049
RF03169#URS0000D6778A_12908/1-87#subopt0,  6.49217, 0.104787,-0.653119,  1.96782,0.0426127,-0.353289, -1.31282,-0.175902, 0.447821,-0.524985, 0.220336, 0.765318,-0.550527
RF03169#URS0000D6778A_12908/1-87#subopt1,  5.98747, 0.753848,0.0115365,  2.26742,-0.129989,-0.105327, -1.21794,0.0775672,  0.31803,-0.841181,-0.347963,  0.89377,-0.715053
RF03169#URS0000D6778A_12908/1-87#subopt2,  5.08769,-0.497316, 0.736461, -0.97288,  1.71908, 0.878252,0.0817783, 0.442163, 0.029967,-0.774531, 0.211546, 0.528856, 0.236668
RF03169#URS0000D6778A_12908/1-87#subopt3,  5.11682,-0.309238, 0.367471,-0.364229,  1.01633,  1.26212,-0.720722,  1.02181,-0.509399,-0.447637, 0.510141, 0.446337,-0.168592
RF03169#MGMJ01000061.1/3123-3039#subopt0,    5.316, -0.64387, -1.06386, -0.52637, 0.494082, 0.604541, 0.636555, -2.00452,-0.171727, -1.11941, 0.263183, 0.200805,-0.422482
RF03169#MGMJ01000061.1/3123-3039#subopt1,   5.96382,  -1.33616,  -1.37907, -0.650062,  0.628429,   0.68379,  0.774849, -0.703369,  0.444335,  -1.92319,  0.270283,   0.60022,-0.0142538
RF03169#MGMJ01000061.1/3123-3039#subopt2,  5.90705, -1.11743, -1.34438,-0.667529, 0.286678,  0.99753,  1.11965, -1.54328,0.0731441, -1.59525, 0.434002, 0.430678,-0.313817
RF03169#MGMJ01000061.1/3123-3039#subopt3,   5.74296,  -1.07744,  -1.09163,0.00672626,   1.05319,  0.388259,  0.402868,  -1.20167,  0.211761,  -1.65431,  0.357698,  0.375793,-0.0318246
RF03169#URS0000D66ED9_12908/1-87#subopt0,  5.44411,-0.847201, 0.403216, 0.775208, 0.463704,-0.212015, -1.18602,  -1.1151,  1.05552,-0.114146, 0.766721,-0.926113,-0.518315
RF03169#URS0000D66ED9_12908/1-87#subopt1,  5.43148,-0.725886, 0.642502, 0.660324, 0.512435,-0.747924,-0.631926,-0.878579, 0.766554,-0.281441,  1.15594, -1.33931,-0.321282
RF03169#URS0000D66ED9_12908/1-87#subopt2,   5.3819,-0.866876, 0.629086, 0.551072, 0.922566,-0.748848,-0.849937, -1.01032,   1.1238,-0.431295, 0.807465, -1.01982,-0.165096
RF03169#URS0000D66ED9_12908/1-87#subopt3,  6.02994,    -1.45,0.0266393, 0.687154, 0.449465,-0.180032,-0.685342,-0.822675,  0.85362,-0.383623, 0.657223,-0.541627,-0.514113
RF02958#URS0000D6753D_12908/1-114#subopt0,  6.45804, 0.389654,-0.499309,-0.756488, -1.40996,  1.37915, -0.16575, 0.627188, 0.401588, 0.626051,  -0.4601,-0.404903, 0.687398
